gene,HP22068_G11,HP22068_G2,HP22095_G11,HP22095_G2,HP22182_G11,HP22182_G2
KIAA1614,78.79221452,100.4658844,289.8380662,135.3081582,272.8424636,128.7392887
AL162431.1,12,10,39.15510059,7,6.333861813,10
KIAA1614-AS1,1.508126148,5.760796642,13,7,15,3.786088125
STX6,373.7474666,505.0590802,970.0083313,643.0752482,1260.917511,864.9825901
MR1,276.299694,377.2067528,583.6410529,354.3257461,687.9333384,608.4004997
IER5,155.1476965,318.8259722,214.469564,348.6266784,538.0962994,477.5418212
CACNA1E,6.159390718,3.168611219,66.44960552,8,2.405308538,2.083923086
AL355482.1,3.853859981,3,7,0,4,4
GLUL,955.150038,1385.672661,1141.679134,1175.701845,1793.297135,1570.453439
RNASEL,119.4664987,214.5144209,136.7139524,141.0833839,423.6778041,475.0633233
RGS16,523.6560215,492.2012204,779.9865722,385.5187391,1983.123034,1060.33883
LINC01686,6,0,15,8,29.30390033,14.97250356
NPL,64.80905578,80.7773092,282.8834875,130.3509154,190.8133544,185.4507032
AL355999.1,20.48283406,31.30266924,94.03855731,27.73495045,29.13415319,33.60476956
DHX9,1277.006996,1735.20256,3789.376895,1897.673275,4483.727436,3069.378078
LAMC1,577.0019219,824.058132,1618.828785,575.8262514,1541.984221,1260.592003
LAMC2,544.132848,866.429659,442.1941835,443.6859855,499.2333878,582.0192442
NMNAT2,273.3144457,451.512853,2248.889885,527.9775596,1047.119839,679.4025516
AL354953.1,20.44699389,37,18.15934611,11.36943571,53.31066072,32.34098294
SMG7-AS1,6,9.126385293,6.537931997,6,24,15.72767956
SMG7,521.7210544,682.3246578,2119.032038,726.1330124,1760.224636,1082.320816
NCF2,191.3532333,240.643474,209.9098286,144.1402221,380.7074175,305.7383672
ARPC5,4927.286622,7713.259781,9772.881182,9203.307499,18146.16154,11838.48791
RGL1,136.4385779,185.6990058,1867.647909,257.3852995,777.3970799,419.9476238
APOBEC4,11,11,41.60449397,8,21,22
COLGALT2,39.33649837,72.66341876,118.4955187,59.00704811,91.75144197,85.64458369
TSEN15,614.6488823,879.22927,1465.629995,1081.12235,1732.483293,900.4017303
AL158011.1,3,0,29,4,0,0
AL445228.2,8,3,11,4.527452906,12,17
C1orf21,427.4946039,593.5123429,2647.306845,857.1621931,1373.173904,1090.993421
AL713852.1,2.641599894,4,51.31064051,4,3,8
EDEM3,1030.797495,1394.511613,3096.449226,1433.302119,3375.254671,2741.238906
NIBAN1,326.3409543,288.3951859,771.9923369,176.1385573,602.2200783,666.995506
