gene,HP22068_G11,HP22068_G2,HP22095_G11,HP22095_G2,HP22182_G11,HP22182_G2
AL627309.1,7,4.216008529,15.25428934,9,19,16
AL627309.5,11,17,27.63912302,28.60691339,59.49190112,18.14781283
AL627309.4,13.05134794,8,6,31,16,16.51045026
AP006222.2,3,0,17.88504555,18,54.61954171,21
AL669831.2,11,5.860634936,4,12,2.460461122,12
LINC01409,206.22587,203.0039854,377.0938059,256.2348859,446.3528019,450.3283125
FAM87B,3.850232438,11,1.59804178,6,9,21
LINC01128,478.8428134,707.91272,1522.244491,1151.26427,1700.917784,1389.014781
LINC00115,70.13287566,87.24796031,24.64619326,51,75.91613493,62.97542844
FAM41C,42,37.65736547,54.17770983,60,147.0870767,74.17667403
AL645608.2,4,11,3,7,9,10
LINC02593,47,50.638644,57.09132861,37,83.16859344,52
SAMD11,1444.914864,2396.958578,2923.32193,2127.499469,9906.123877,4523.493369
NOC2L,640.9420088,831.243735,1157.507652,816.5762517,1632.684234,1054.851273
KLHL17,67.31315094,92.38700308,76.50993035,56.65272247,108.1287344,50.71370102
PLEKHN1,78,54.20781428,30.88459198,49.93649207,41.45985076,68.5717948
PERM1,10.96133447,7.008830116,2.940999981,3.642085003,6.146732783,10
AL645608.7,17.37397291,21.54586534,14,6.683589915,24,14
HES4,975.7189424,1445.13541,1185.831416,1471.352245,2849.641227,2294.857062
ISG15,544.6385309,801.9464246,1705.198748,1286.469493,2746.375391,1544.318093
AGRN,316.2748486,351.6187646,165.8465087,125.0637898,361.2642885,325.7499985
RNF223,6,17,3,20.58346522,13.16261761,34.09968756
C1orf159,98.24198934,103.4863252,265.0929632,62.59342678,109.7796641,94.77041703
AL390719.3,3,0,21.91008537,0,3,1
AL390719.2,112.4502595,100.140083,90.8968164,93,84.71739115,79.5970407
TTLL10,19,23,18.05886895,4.451374748,15,16.36918541
TNFRSF18,64.86549129,97.06979565,100.4310062,48.60388664,128.7606235,124.3011004
TNFRSF4,118.719531,224.9419712,578.6017569,276.4747749,1515.872934,271.4717236
SDF4,1474.341028,2215.628728,3823.521006,3269.794842,5403.442848,3405.684935
B3GALT6,380.8847345,656.1200393,844.9507327,787.4515214,1286.06655,845.3699774
C1QTNF12,19.67454769,49,30,17.55105787,70.43282356,29.40594283
UBE2J2,662.0589315,1114.355858,1551.904979,1099.473927,1698.162221,1436.340826
SCNN1D,29,22,27,20,7.909226138,10.16485552
ACAP3,441.2106235,592.8683912,869.3592803,544.6735932,734.4946566,645.554409
PUSL1,210.3956574,480.7629065,536.9927276,550.7002845,690.6237481,467.0614521
INTS11,472.6310884,727.7249648,757.6374564,634.7625328,1121.807064,795.9927166
CPTP,122.1839399,156.3370916,134.4649606,106.1962687,265.8215629,113.2798528
DVL1,341.4109889,459.9195681,452.9596263,438.8836178,544.1294964,502.0262399
MXRA8,180.8120378,164.2673547,269.8289335,246.4391154,430.694456,340.4613939
AURKAIP1,4009.496207,6740.693203,9539.960134,7428.261504,12064.57451,6974.604198
CCNL2,1166.666824,1344.504715,1620.16889,1487.514711,1614.704486,1578.989194
MRPL20-AS1,129.5345662,213.7600698,355.8893113,265.0353335,461.4612657,317.5999639
MRPL20,4373.778315,6403.050379,9374.192858,7175.85093,12446.78662,6630.764455
AL391244.2,8.516473211,19,24,13,30,23.18897735
ANKRD65,519.1330919,916.603818,1740.997015,1215.852297,2062.546872,1255.833133
VWA1,1501.287565,2443.756731,4330.180641,3165.984261,4916.244839,2962.801891
ATAD3C,359.0904695,560.2811216,738.6703087,544.7861291,1167.470206,628.6236562
ATAD3B,111.2236812,157.2110832,289.9978578,162.2579759,515.7643099,239.7517408
ATAD3A,189.7378043,262.3658984,476.1116582,304.18198,602.0067653,297.9775276
TMEM240,58.91118757,102.1605266,140.7731433,130,200.2082513,131.3074659
SSU72,2548.035784,4341.427877,6959.474854,5529.001192,8396.418454,5520.434471
AL645728.1,22.04027352,62,62.73941151,30.90305428,172.6406053,95.77346149
FNDC10,89.63193854,173.6295238,237,142.1566387,242.3722008,150.22341
AL691432.4,3.87198671,6,3.652759625,6,31,20
AL691432.2,138.8157632,272.9108509,455.6433004,312.4888083,583.8825743,356.9949589
MIB2,276.4645274,522.7321167,497.1503759,426.2552953,846.271066,603.104709
MMP23B,12,20.96299149,29,32,25,17.62234411
CDK11B,432.8514989,465.3387225,819.8968269,470.4468182,1231.139776,984.703595
FO704657.1,15.12708256,12.31901188,30,27,51.17248234,22.86154347
SLC35E2B,184.751726,237.8727326,344.8643956,140.2474793,363.502738,476.9596709
CDK11A,529.9750033,567.5791842,621.3811678,481.8489672,859.4923444,795.109596
SLC35E2A,150.6303838,167.4911646,456.4244353,229.8318619,212.2976753,193.2453257
NADK,217.3427389,377.6230232,533.2590441,293.7781,453.3865478,370.0393486
GNB1,3007.396855,4790.678426,9337.461782,5770.392863,9658.998524,6603.848998
AL109917.1,11,33.41029301,18.37342726,13.11955469,58.62160842,21.59788407
TMEM52,15.27597887,14,28.72040459,5.868406754,22.42922173,11.74968972
CFAP74,6,6,8.937809002,4.463707542,24,18
GABRD,9,21.04624187,19,20,84.63357703,87.65191636
PRKCZ,160.0248825,231.2453084,453.6329909,177.5795581,391.7950802,325.4546414
AL590822.2,13.04835621,14,3.765852374,6,12,21
PRKCZ-AS1,12.39252988,29.96852759,28,17,30.03134424,15
FAAP20,1621.5726,2455.725087,4923.520679,4267.889923,5765.995981,3445.357853
AL590822.1,3,0,16.7667596,0,0,0
SKI,202.160413,355.9446177,768.3636938,427.7645685,711.5385968,546.355321
AL590822.3,7,5,7,7,10,8.273149725
MORN1,89.6826596,101.1296273,258.8136961,118.3453607,172.9140581,154.5923501
AL513477.2,15.67839129,16,26.00757404,6.861328166,10.07645146,1.459709134
RER1,1766.134595,2820.832719,3364.922574,2991.652742,4597.993553,2673.643294
PEX10,248.732125,408.4772794,706.0443257,548.263153,894.5537552,485.0781136
PLCH2,42.1548891,73.35905978,61.94854718,66.60975742,124.2845674,182.1288447
PANK4,79.57792177,162.6666299,201.5235634,203.6917788,221.5980942,119.9537281
HES5,4,3.972890857,5.792173996,10,25.21427314,15.23066191
AL139246.5,99.85623574,96.31815169,183.0670497,102.0380994,350.5382145,174.9006166
TNFRSF14-AS1,62.38974609,101.8174713,122.1635215,156.7822287,166.0761835,98.79237818
TNFRSF14,503.6867798,696.210989,835.5446291,991.4784644,1643.106948,1101.283223
AL139246.3,2,4,5.888017412,8,18.69916536,13
PRXL2B,136.999931,182.1138854,250.8905402,149.6485802,381.6297415,216.29831
MMEL1,19.34429121,30.11633579,16.31732188,41.50442052,20.64339106,27
TTC34,14,11.16415081,10.98177458,9.390706125,26,20
PRDM16-DT,40.58325007,56.13120393,32.86782802,55,97.25182831,50.84401261
PRDM16,124.6662319,139.9204398,315.5187535,63.68341477,157.1162748,109.6399229
AL590438.1,2,4,0,0,1,9
ARHGEF16,170.6303098,225.5394576,278.8258405,217.2242635,287.6523208,252.214044
MEGF6,51.8893047,51,23.03524347,25.98033174,24,29.25512325
TPRG1L,589.5304514,1028.513754,1381.984409,1281.95797,2718.815956,1632.480652
WRAP73,278.5467233,391.6648744,538.371976,431.9333118,677.6022853,459.4516942
TP73,3,4,3.921962267,0,0,2
SMIM1,269.0339951,402.6583375,672.8912514,565.1121626,938.5878855,619.7647695
LRRC47,270.2767404,472.981939,627.4798517,542.258284,989.1580574,651.9098466
AL365330.1,3,0,3,4,6,6
CEP104,533.9500893,725.7638917,1461.706178,876.6728055,1769.897109,1281.442461
DFFB,92.88532798,99.83232549,144.1360813,93.96359531,127.4816211,139.9531538
C1orf174,302.5581613,332.0825494,806.8290235,629.3584364,832.7687902,594.4990976
LINC01134,15,29.48837363,78,19,50,31
AJAP1,5.145333143,22.76528785,80.77967139,40,46,29.31374657
Z98886.1,5,0,3,4,4,5
NPHP4,97.74189354,198.048997,847.3886949,216.7862048,166.299678,198.0828374
KCNAB2,90.66446212,129.9644397,191.5399906,55.93830491,189.3531348,141.7890818
CHD5,395.2860125,472.6480388,584.8820368,472.3063215,421.2754588,393.5131033
RPL22,16512.9262,30469.89567,39244.38545,31912.73063,54512.09593,35231.2924
AL031847.1,10,14.46953701,12,23,18.44153075,14
RNF207,207.0525985,211.1328249,273.2631361,131.9470808,168.638022,216.2812695
ICMT,509.6291499,744.3675248,1119.5272,950.8068112,1485.03012,999.188206
GPR153,82.061101,106.5040309,72.05006483,57.96493096,98.49071158,98.05706856
ACOT7,189.2855599,328.8347424,367.5833914,157.4924867,526.8117097,316.2797002
AL031848.2,25,33.20147163,36,47,89.41657581,48.15212126
HES2,6.863608589,14,24.53256025,36,42,51.47230543
ESPN,7,11,0.935996335,2.68898623,12.1776049,14
TNFRSF25,42.43530659,39.01296322,44.44563295,39.46126839,52.44247409,61.26584969
PLEKHG5,22.4688496,35.03737327,62.778494,18.7970935,58.19600902,29.90547528
NOL9,231.5498038,326.7153916,750.7340176,419.3094795,803.4594276,528.7843528
ZBTB48,202.2924164,261.2235613,471.8755134,298.0416829,326.0528606,288.5465844
KLHL21,114.7808565,181.5040438,267.0446891,147.0776501,258.240465,247.1774397
PHF13,191.4183652,249.3105314,312.720887,310.2146036,405.898429,410.5531654
THAP3,298.3485136,567.8716629,649.664259,519.3362174,727.0223704,482.0831311
DNAJC11,181.0705903,258.0953795,790.7029828,289.4100484,690.9797746,447.8549635
AL591163.1,4,2,0.69518818,3,4,6
CAMTA1-DT,5,4,45.80946911,9,11,8
CAMTA1,1743.536382,3032.795016,5439.576564,3320.985661,5155.6937,3386.602346
CAMTA1-IT1,1.50697898,0.984523762,5,14,4,1
VAMP3,881.2972185,1418.651033,1894.049537,1888.497304,3194.589485,2100.235325
Z98884.2,5,5,6,5,0,7
PER3,963.4261844,1658.707205,2496.736516,1730.509743,1517.924611,2272.8179
Z98884.1,1.002148733,0,95,3,1,12
UTS2,26,38,15,11.83987602,6.448106054,23.29374407
TNFRSF9,12.04165486,12.35356109,7.229289459,11,22.70971179,29
PARK7,8022.480251,13673.50423,20975.12407,15657.37693,23614.2309,13238.97311
AL034417.4,13,12,56.21533865,13.9522792,13.10440735,29
AL034417.3,25.5195602,22.21732231,19.54469687,11.80042775,18.25107716,25.46213191
ERRFI1,874.6182688,1055.319257,1801.706979,1069.731495,1923.18419,2028.463246
AL034417.2,13,19.62628532,104.8620689,10.90569939,41.15421888,30.8429217
SLC45A1,23.36236729,67.20039186,135.5585298,35.87231215,139.9278178,85.44037827
RERE,1954.954178,1982.155569,12063.46106,2158.991091,3712.632936,3003.421714
RERE-AS1,6,6,41.63553109,7,11,17
ENO1,10474.60702,18709.57509,18906.09787,16092.71087,36923.3383,27267.75862
ENO1-AS1,28.98222478,64.39538343,103.6840065,94.61566585,155.7617878,95.23804825
SLC2A5,32.23175136,36.4230368,23,25,83.79352818,60.70036667
GPR157,59.64493099,74.34006053,81.44376777,37.67000851,98.30606563,143.8091007
MIR34AHG,53.51760991,78.55854949,305.2433298,59.38282438,77.75232464,141.7728558
LNCTAM34A,24.53960676,29.71951212,150.2475901,32.88620525,127.272268,74.81275874
H6PD,267.4352579,381.7579675,417.7631268,168.3554256,207.2401216,311.3232574
SPSB1,266.3140525,412.2103484,662.1832883,307.9912164,1069.776336,795.372852
LINC02606,2,18,11.7912569,14,18.32544631,16.7716487
SLC25A33,475.2546134,995.4708712,2355.541192,1405.91768,1563.196123,1138.273278
TMEM201,51.35475172,106.285936,133.5883096,112.3454104,155.7730034,117.7564087
PIK3CD,35.53918158,67.89398821,56.56483799,42.84273103,58.33450399,68.78520244
PIK3CD-AS2,161.179233,285.0516476,457.7812519,338.1029859,586.2405963,260.9364685
CLSTN1,865.7165069,1206.790759,2203.24536,1328.072033,2631.633268,2032.743297
CTNNBIP1,462.3259739,884.8344254,1581.078974,1253.027608,1240.251392,890.9403674
AL357140.1,6,12,3,4,2,3.748420084
AL357140.4,8,5,26.48669541,8,13,17
LZIC,1104.840703,1991.718195,2908.386511,2739.801246,4711.52129,3161.946201
AL357140.2,3,0,9,14,4,3
NMNAT1,201.7310203,232.3510296,524.3720609,285.810092,495.6634141,366.3201553
RBP7,74.87760973,123.0898844,155.2051305,138.4334892,275.4997682,99.0866635
UBE4B,361.1385363,549.0429821,2732.990035,494.2665327,1019.888136,799.5464966
KIF1B,1024.585512,1301.353329,4170.901964,1438.836538,2593.648238,2313.990544
AL139424.3,21.80205947,24,15.77924288,16,19,12.53823515
AL139424.2,16,26.60191984,14.52496445,12.1760244,10.55708653,17
PGD,625.7266196,720.6618158,1385.036302,812.6216002,1511.453161,976.6783413
CENPS,330.2463372,520.7897968,936.1845536,725.4902991,1314.067355,793.9306353
CORT,25,21.33959172,64,38.57949909,55.30440281,20.06859034
DFFA,568.1404892,867.4138591,1228.610644,933.5553192,1892.407202,1319.52001
AL354956.1,5,3,6,0,6,3
PEX14,147.4321434,185.4527987,1263.483311,207.0374332,464.5880394,261.6574355
AL139423.2,27,19,13,6,13.99222458,34
CASZ1,203.5902286,277.0682184,418.3961444,153.8911227,332.8241135,282.1936937
AL139423.1,29.03645596,22,27,2.606606415,3.819010445,12.49938506
C1orf127,284.2646332,370.1173061,688.1169648,380.7787552,1251.765722,699.6887332
TARDBP,928.5945218,1287.978485,1680.121518,1189.777004,3278.195465,2337.498744
MASP2,15,8.835107002,33.32298562,7,8.4056057,29
AL109811.2,229.1814982,205.4118804,173.0117051,131.1078987,99.0561563,124.2131501
SRM,1144.796179,1491.93969,3097.833457,2072.658719,3717.722525,1885.066575
EXOSC10,407.3940405,578.9120015,902.3534261,633.1132526,1162.585444,982.2697004
AL109811.1,11.38438857,12,149.229518,12.93278287,15,22
EXOSC10-AS1,36,41.19273418,83.41470664,67,98.0124627,36.01973674
MTOR,397.1585773,401.7877632,1270.360553,513.020652,621.7174958,497.8572545
ANGPTL7,3.702474022,4,15,2,12,10
UBIAD1,200.1497763,263.5887971,429.0494693,239.584558,419.894329,306.4228208
DISP3,77.49826843,175.5702507,266.7115505,101.927486,311.0061922,307.1091126
AL590989.1,3,5,0,0,0,5.265730568
AL031731.1,5.604888057,6,12,0,5,6
FBXO2,574.2036644,1036.002884,1298.900317,1010.413801,1647.509977,1086.539236
FBXO44,196.511467,366.7279864,375.245848,332.9588287,386.2288685,363.3207029
FBXO6,182.6518908,238.4047927,498.0019538,300.2253831,388.6719274,242.1760587
MAD2L2,340.4180747,607.7825324,887.1410449,582.5012078,1074.473741,757.5014299
DRAXIN,7,3,10,4,5.999514157,4
AGTRAP,861.331766,1234.084139,1710.077917,1291.953852,2071.470577,1365.40798
C1orf167,5,6,5,5,1.632572279,11
MTHFR,369.1735082,469.6182146,866.2297965,346.1022355,662.7548538,572.2338223
CLCN6,208.8209569,306.2245797,767.1646733,311.0197649,434.3152593,472.55875
NPPA,7,5,33.53150608,0,4,9
NPPB,107.6710533,242.8094872,107.2766017,242.9213772,643.7178847,277.9740247
AL021155.5,23.53385014,42,25.90072951,7.056952379,133.2269181,78.35653294
KIAA2013,576.9999569,1037.423062,1320.569102,800.2405172,1589.161386,1080.963029
PLOD1,335.4230499,433.8457043,548.885465,308.5614714,1259.404095,730.195497
AL096840.2,4,3,3.15295526,6,16,15
MFN2,232.5528297,430.882779,634.7306033,353.4673644,810.2824231,547.5248239
MIIP,213.4926405,381.9794124,391.9067422,334.7876083,436.1215124,388.1444762
TNFRSF1B,69.73618748,70.37071162,128.3119681,71.82623849,228.2255721,121.6328505
VPS13D,524.6944188,625.9306491,2778.8389,539.5486742,1314.823538,956.7041019
DHRS3,950.6416481,1354.224606,1851.498721,1212.18843,2007.100974,1712.269091
AC254633.1,11,14.87084971,10,8.098245099,35.45568987,36.39518668
C1orf158,41.45730507,71.3848624,178.5672274,90.00854384,146.3768131,69.06465617
PDPN,33.18780315,46.85720956,65.31339844,54.6967072,104.8692921,102.6969593
PRDM2,723.034852,908.0892677,1766.154742,1054.371249,1710.304669,1527.104979
KAZN,59.5731297,92.13558267,557.1055769,216.3996847,262.6499192,305.3222641
TMEM51-AS1,124.3309436,141.2672738,158.0475659,93.70837533,88.74001102,150.4429843
TMEM51,367.5515358,618.3467887,1222.465344,460.5924652,907.7238008,986.9168968
FHAD1,71.11787572,78.99590922,126.894531,76.48018964,182.2072721,117.4814568
AL031283.2,3,0,15,0,3,6
AL031283.1,4,2.020294828,2,2,0,4
EFHD2,1247.375208,1793.203498,2073.274427,1775.163034,3049.76653,1934.242158
CTRC,758.5038986,882.3503441,1659.245525,608.8980801,815.0188357,324.9009622
CELA2A,34.94064071,36.32224609,144.5168697,53.42158621,146.3470739,24.44007943
CELA2B,3,6.706666328,46,24.31675924,31.77427766,8.940382525
CASP9,104.4907475,195.2527824,497.9291975,204.9764107,282.4667951,200.6021904
DNAJC16,385.6866996,500.9386481,1412.638849,521.5287985,948.6279982,741.5651268
AL121992.3,6,0,0,3,4,4
AGMAT,48.70957576,54.47600237,164.7166003,91.23911616,64.87585772,56.1231807
AL121992.1,23,11.77002863,15.41733683,17.25956098,35.99573007,44.51529946
DDI2,501.7452331,606.6588305,1271.603659,644.8168889,1281.900529,901.3305074
PLEKHM2,696.8325748,1081.190194,2394.468292,1194.1235,2291.037611,1461.085883
AL450998.3,12,8,48.11979202,5.006802627,3,11
SLC25A34,137.714284,166.5907061,453.6455123,126.5854354,235.0688442,181.9838479
TMEM82,3,0,4,2,0,2
FBLIM1,476.3029459,593.8449608,753.2939555,440.7083769,792.4241335,762.9119302
UQCRHL,53.05394095,174.9636423,116.4966341,41.16104624,126.906439,153.368717
AL450998.2,266.8412024,381.5912265,680.814325,475.0094131,1110.656827,795.4643326
SPEN,1295.260317,1516.167007,2927.683609,1493.884661,3558.152884,3110.127869
ZBTB17,118.0650903,213.4734494,514.5957464,225.3740657,412.9459345,312.4854955
HSPB7,17,17,10,17,56.6978127,32.24004595
CLCNKA,3,5,0,3,4,3
CLCNKB,4,0,1.805611339,2.3390946,0.218525638,0
FAM131C,459.3021317,849.5092424,1054.159286,860.5744265,892.4335769,621.1556039
EPHA2,82,105.1498945,143.4332783,127.2498327,110.7664894,146.3739712
AL451042.2,4,5,0,0,4.720429233,7.015258843
ARHGEF19,29,40,30.01013979,42.92978563,59.31661269,64.63034539
AL109627.1,20.39528051,15.40980093,30.21259016,42,41.60148413,22.535872
CPLANE2,28.18584768,70.85024316,97.27657985,119,104.3727648,69.55620214
FBXO42,301.0174325,399.5313333,2235.796384,426.4171387,664.6022582,605.484405
SZRD1,873.4231067,1239.323837,2163.315706,1367.911472,2501.233108,1670.8052
SPATA21,28.25570837,19.0917719,78.21807092,18,9.621052121,28.23234803
NECAP2,458.8800558,727.1876978,813.6575483,744.3207438,1655.587363,1189.649896
LINC01772,40,32,23.89489074,8.740120439,34,26.53785358
AL137802.2,43.79144817,76.46483904,85,88,78.43769421,57.9558753
NBPF1,332.4952595,353.643629,463.7558654,448.1937044,416.7121272,348.2336898
CROCC,85.24839636,121.416848,440.1884515,76.32343385,136.2870737,113.980301
BX284668.2,4,3,3,5,9,4
BX284668.5,385.0729902,738.0508163,636.6307634,536.3896275,940.9495016,751.5089332
BX284668.6,10,17,5.874279475,2.41357999,17.4199834,15.67737839
MFAP2,137.4934823,114.1239358,155.5205599,156.7332669,329.9695128,144.8566537
ATP13A2,281.5247153,469.9122458,703.8206551,487.2656036,590.0977174,374.7270398
SDHB,1189.035066,1876.421065,2908.256598,2135.113597,3557.499435,2249.322951
PADI2,4,0,9.609996694,9,4,4.396247529
PADI1,4,6,7,4,0,18
PADI3,3,0,4,1,0,3
RCC2,339.1234422,389.2229054,467.4205427,341.3309716,738.0232051,570.0968007
ARHGEF10L,264.5173135,398.3544784,2128.233511,290.1188894,424.3457712,322.578861
IGSF21,134.0721863,207.8258831,442.7923108,176.3120283,77.54815408,56.10541407
KLHDC7A,7,8,19,16,11,14
ALDH4A1,39.77932996,35.71455235,89.26009459,53,110,33.8320826
IFFO2,152.3149313,172.1073981,216.6862139,116.2955152,274.0833527,218.1650488
AL137127.1,10.26769675,15,6.774168047,4.871289904,13.77103596,16
UBR4,556.4038294,701.2135184,1864.580329,597.656853,1608.026353,1481.253563
EMC1-AS1,85.85185748,114.8438615,689.2159596,194.2631113,312.6491394,217.0977746
EMC1,479.8141349,517.5811522,812.9966033,646.1926813,998.5502296,773.6400832
MRTO4,782.5751225,1094.732027,1426.204223,1301.556314,2321.699293,1328.981368
AKR7A3,77.91447095,107.3396666,215.1350733,124.4310449,193.6220295,154.630314
AKR7A2,2190.405835,4036.396547,4601.467261,3791.848182,5637.944906,3205.573759
SLC66A1,175.9766125,317.9658568,422.2815731,327.3918732,571.0072874,485.0403728
CAPZB,3079.924144,5544.553062,9867.4658,5951.956125,11828.18796,7515.438556
MICOS10,5392.241616,9460.710668,15425.12856,12607.81319,18523.84259,10697.96368
NBL1,1111.788398,1625.399788,2834.978629,2175.092462,3674.901783,2660.14962
TMCO4,104.6934643,188.0762713,793.0822737,311.8330895,484.8961204,386.7724444
RNF186,65.52771289,97.59524907,127,70.02342291,321.6242962,142.1634496
AL391883.1,2,5,8,7,19,13
OTUD3,261.4781139,423.1669747,488.432128,408.8191813,932.5216193,877.5694804
PLA2G2A,24.18574822,3.240343164,9.236160883,21.45214384,2,1
Z98257.1,3,0,0,2.260061545,0,4
UBXN10-AS1,28.27757729,46,46,19.47740952,65.78876194,28.26155201
UBXN10,35.77920805,32.62001212,44.56341473,49.33158832,186.7000645,126.3718103
VWA5B1,5,4,14.44731208,1,10.20258999,5.619017967
CAMK2N1,5482.245069,9984.120344,13963.53337,12989.81797,18350.30468,10384.18908
MUL1,195.7976902,327.0304266,337.6436227,290.2725535,648.9240193,420.7231824
FAM43B,6,4,7,4,29.9725583,50.63036927
CDA,4,0,2.241674707,11.63292178,7.328233405,1
PINK1,743.3371025,1330.247482,1573.114478,972.0864311,2503.339212,1544.987944
PINK1-AS,19.32072017,17.32062879,148.6402981,23.46087888,35.13829096,42
DDOST,1729.27725,2824.240681,4711.110199,3447.815166,6642.975949,4220.856278
KIF17,8,8.64796433,22.43599398,18,37,20.87777473
HP1BP3,2790.939452,3701.239298,6408.815407,4793.95129,8515.28306,6773.629031
EIF4G3,1463.490516,1753.319907,11857.13011,1895.360277,4122.056404,2791.642156
ECE1,543.0187939,1129.438607,2027.964769,836.7308186,2165.59473,1688.232867
AL031005.1,4.913770297,11.49158029,26,10,5.203015146,8.144306248
AL031728.1,2.463083049,2,3.759023121,3,2,4
NBPF3,97.19273171,74.49101344,214.699246,52.2078849,163.2841513,202.575646
RAP1GAP,704.9328607,1139.154566,1616.222368,947.4689575,1357.57354,1124.353206
USP48,942.0257227,1342.460851,2565.248731,1745.406162,3205.672496,2825.708895
LDLRAD2,7.485447968,13,16,13,26.56842127,15.5692939
HSPG2,381.3458644,519.7630627,1363.531634,550.4849863,2463.436119,799.4020116
CELA3B,317.0785878,436.322727,1078.37374,420.5441513,83.47837005,41.94905327
CELA3A,1244.896517,1271.933256,5485.35736,2734.543183,582.2864248,301.7538745
LINC00339,96.51643537,221.9972811,477.9434649,419.3819064,305.6559193,192.5814483
CDC42,5329.868438,8129.383528,11258.51295,8835.125209,17391.1546,12337.84304
CDC42-AS1,18.19344055,2.741370107,15.66861942,17.33640021,24.10105634,33.37897511
CDC42-IT1,27,20.94775477,47,42,45.79478398,36
WNT4,3303.675028,7483.098217,9380.822172,7616.955396,13423.77233,7894.957276
AL445253.1,56.37749242,94.45085713,420.5568502,202.3043053,154.40068,78.15340554
ZBTB40,290.973811,304.957495,856.5423086,177.0361504,513.5558111,459.7138837
EPHA8,34.40728711,67.09404152,26,15.64549209,72.44260615,37
C1QA,537.2950047,350.7744571,490.9989118,602.3112041,1917.013053,1008.873598
C1QC,520.7542723,477.8610169,804.3357415,876.9156765,1650.266662,1046.223029
C1QB,1133.417904,862.8622259,1328.368156,1181.164537,3202.212555,1731.883473
EPHB2,171.7120174,204.4420261,592.7601831,209.3874616,216.9815828,256.6720638
KDM1A,584.2400516,825.2910521,1813.040955,1320.466839,2249.714684,1692.099381
LUZP1,552.5791646,727.1126536,1484.496508,817.1876656,2021.422372,1291.168629
LINC01355,105.1795919,83.55547169,124.0811773,86.94833311,54.4605247,72.60191762
AL109936.6,3,5,50.27843829,2,3,4
HNRNPR,2480.056657,3908.473666,6383.680387,5254.13007,8523.031876,5852.730831
ZNF436,48.39541349,76.60253434,117.9091242,67.41654144,126.4712236,122.2987016
ZNF436-AS1,62.73559871,74.64974796,141,77.12339842,169.2562309,107.6007704
AL109936.2,2,2,5,2,3,0
TCEA3,252.4565976,312.9034964,412.2070673,345.3025467,499.16423,350.5255212
ASAP3,39,39.86486228,90.60897773,12.56216055,31.39966492,41.32013751
ID3,1371.855467,1636.626741,3183.237637,3149.718143,13021.37696,3902.366595
RPL11,40504.283,70487.82786,100712.1146,89321.13656,129716.0939,81776.43739
ELOA-AS1,110.3472555,136.0640904,777.6047531,187.4908539,347.6463059,193.8537892
ELOA,654.1108729,823.9120681,1344.084975,1087.129795,2267.771186,1558.330315
PITHD1,1384.108199,2186.900515,3698.864297,2614.683157,5151.897882,3164.779011
LYPLA2,604.4253666,897.4525349,1445.388402,970.614927,1766.396463,915.6452477
GALE,427.0466065,694.1119024,486.0093383,358.1563644,685.9124406,501.5592599
HMGCL,699.1800865,1120.260616,1634.266092,1229.818439,2130.970423,1163.987207
FUCA1,966.2231492,1559.223555,3325.684526,2502.747909,3574.903249,2209.658405
PNRC2,2195.013721,2916.474783,5513.831231,4673.837544,7804.579939,5066.990313
SRSF10,2388.735134,2730.54317,5026.344378,3545.410565,6391.989543,5170.569765
IL22RA1,7,3,19,4,2,5
IFNLR1,42.42444867,58,213.7957657,52.43818447,86.53489228,75.63336337
GRHL3,5,10.40812324,52.0767066,14,7,15
STPG1,99.2544934,214.787121,387.1317858,189.5740667,467.0697117,330.1410326
NIPAL3,268.4670083,358.398845,655.8898509,296.1340349,627.1608226,486.7354483
RCAN3AS,94.84783107,204.284459,740.0342627,171.6411327,374.8174821,190.9666025
RCAN3,1431.272903,2318.147356,4987.852423,3222.197226,6679.088765,4659.275118
NCMAP-DT,288.7402734,441.3682365,285.9879014,177.0579373,438.1554405,350.0485644
NCMAP,188.39558,221.3535017,1023.651057,227.1457439,443.6127862,338.8991968
SRRM1,3787.903881,5168.281276,7190.682399,6425.806179,10492.36445,7638.006174
CLIC4,482.6432805,741.349719,1863.669269,738.276584,3519.33793,1922.767702
RUNX3,106.6990841,92,147.4163654,103.617105,294.7480444,146.789582
SYF2,1965.365179,3169.241218,3399.080005,3080.160279,6672.336846,5428.062714
AL031432.4,32.68039564,46.10570257,55.20663188,63.50560985,83.24667219,70.93074703
AL031432.5,6,7,4,6,16,4.041044442
RSRP1,1646.566948,1977.173464,2852.604981,1809.221661,3547.865901,3216.85771
AL031432.3,7.404232681,20.78175379,6.422103943,8.857410824,29.52202003,16.81675866
RHD,13,14,79.98504342,1,10,7
TMEM50A,2264.020603,3695.620929,5227.491102,4693.512405,6909.428033,4719.32749
RHCE,39.77932745,62.86200562,135.6432693,59.61399197,295.2285255,127.202647
MACO1,662.8856578,1136.167346,2743.428932,1351.237605,2641.431072,2110.90968
LDLRAP1,758.2725916,1269.573295,2033.176246,1458.993763,2064.190853,1711.385799
AL606491.1,7.030904331,15,152.1955448,49.04602056,73.72635078,39
MAN1C1,221.3684352,503.1652103,1727.307765,506.6560537,1156.315696,784.3238094
AL031280.1,49.77666695,70.94648973,73.20814354,34,66.41926218,83.07522654
SELENON,363.2055322,573.9025233,1013.266384,632.145974,803.9936515,573.1125457
AL020996.1,61.08921016,34.21916882,42.87943818,98,81.36172383,85.34531933
MTFR1L,420.1477377,651.238177,887.4969493,550.0973586,1145.453784,813.2178403
