	donor1_H1	donor1_H2	donor1_H3	donor2_H1	donor2_H2	donor2_H3	donor3_H1	donor3_H2	donor3_H3	donor4_H1	donor4_H2	donor4_H3	donor5_H1	donor5_H2	donor5_H3	donor6_H1	donor6_H2	donor6_H3	donor1_L1	donor1_L2	donor1_L3	donor2_L1	donor2_L2	donor2_L3	donor3_L1	donor3_L2	donor3_L3	donor4_L1	donor4_L2	donor4_L3	donor5_L1	donor5_L2	donor5_L3	donor6_L1	donor6_L2	donor6_L3	FC	Log2FC	pval	adj pval
DDX6	7259.64	10297.03037	8516.316019	8333.721918	8229.762421	9130.932574	5966.695332	8374.566543	5657.618221	5381.492733	3567.262111	0	10482.7238	9186.550134	8539.148013	9498.623931	8859.912084	10578.85668	8926.821204	12630.24119	11064.69643	15865.81827	14976.37702	13678.78261	12531.46435	11998.74021	9529.530103	12253.80104	12451.59584	7657.238473	12904.82839	11656.52226	10520.42176	12670.64241	12590.27155	10542.19454	0.642857826	-0.637428387	1.55801E-06	0.008470889
EEF1A1	433624	426516.1382	429268.8828	230774.5885	243709.7154	232805.4659	181834.7086	178695.8918	203529.3153	109972.9932	122389.3888	110624.1969	270371.3284	283342.2223	333103.7543	343425.6576	332299.8059	306677.4512	506843.4134	508549.7226	524079.7251	328389.8001	316650.0988	295750.2913	251021.3786	261236.3185	236267.1911	149426.9896	122633.3109	147789.8644	312274.5572	335547.91	296723.1693	392856.4242	398784.1874	366553.5158	0.829882093	-0.269021717	2.22897E-06	0.006059459
ATP5J	94383.4	109359.1735	104684.0924	104345.9432	110138.236	120847.0019	101412.9076	106234.4363	117029.2989	72143.7028	76548.2552	69488.50883	85790.34493	90171.32508	90751.03266	104802.4798	120586.1263	110734.9635	74946.31154	74992.37259	88053.72029	69460.56391	65905.52717	77767.07905	62756.6148	66975.06482	72641.97799	64360.0519	52029.46861	54633.50796	81973.10801	78534.702	87579.4132	95645.00406	102503.8927	92829.03505	1.31231134	0.392110034	2.44301E-06	0.004427543
TUBB4B; TUBB2A; TUBB; TUBB2B	121189	134863.4469	130473.9757	171461.108	167003.1414	163804.0419	140307.3854	134859.2612	138295.678	47775.33412	53346.73157	51200.77773	144376.4714	169062.974	163072.6902	197076.6848	192763.6461	215658.01	179809.377	199641.5763	183911.2333	234011.8036	229182.9145	226295.6921	219612.0904	221808.7575	212748.9186	48367.42862	69599.06805	51046.3914	223731.7278	213214.369	195153.1467	224290.6652	209685.5938	224312.2522	0.753497215	-0.408325916	2.93828E-06	0.003993859
DDX3X; DDX3Y	22323.1	24977.84162	23331.4461	23433.60918	21743.64227	21443.59748	20904.34098	17771.77068	20374.03049	12688.24247	9647.019301	7134.66847	22066.28059	22013.16714	22390.16733	24075.30649	23759.50799	22593.62647	31476.30669	28390.4144	30275.04226	27931.17044	25156.23889	24222.54927	22137.92633	21681.54413	21045.86392	15350.20865	10670.34542	10455.58027	23905.16434	26026.58114	23418.89826	29714.57648	26348.0068	26967.95443	0.852994416	-0.229391798	3.35219E-06	0.003645171
LARS	13842.3	15607.72911	14688.09005	12922.3959	11448.93267	13090.76926	8625.799298	12207.6577	11422.57742	7992.273902	10254.70828	8642.979106	15015.64045	11048.49191	9421.990394	12388.68647	14639.1439	13527.57161	15939.67238	19657.07715	17021.17959	14736.42968	14389.09671	13689.5957	14455.80512	14552.36612	11617.12798	12349.72867	11998.24566	11814.36281	14047.93856	14766.64384	14348.40576	16479.93798	18009.37963	15008.02131	0.818434412	-0.289061289	4.97936E-06	0.00451213
CCT7	45976.5	42589.67487	43750.32683	56428.23684	56200.45947	57623.58847	46641.11671	47298.44566	49228.9269	26253.6516	32012.9274	31793.62718	56035.49084	57425.87849	48563.67693	54583.20832	56349.19049	56937.82424	53567.98544	54839.83787	52170.2193	70798.19412	72601.08359	68836.13503	61270.53289	57333.36837	61854.59802	26179.14721	27812.09852	28058.83586	63639.28388	70154.84399	60703.44791	68466.96877	66641.08904	67950.93238	0.838136011	-0.254743715	5.18281E-06	0.004025563
CADPS	10899.2	12198.03423	9207.374158	40467.3363	39140.47832	39806.98006	35982.67748	36840.77926	39944.35101	9565.362407	9677.421024	8493.690599	31994.81145	29113.24373	30813.15489	30798.9226	29083.41907	28161.3894	15305.33137	14144.6629	15523.23234	47370.22046	45381.45469	46928.81339	42854.16211	41432.00848	42100.69219	9396.359639	8793.957919	14660.22496	34935.77311	34102.12218	35610.11253	30967.90112	30712.0768	32018.93754	0.87081427	-0.199563047	6.79119E-06	0.004615463
EEF1D3	203713	184824.2507	186860.079	129644.2464	131375.7274	126041.5869	139082.5932	131834.4297	144374.2434	85190.41876	63640.30569	74477.82477	120539.8736	122407.5936	125622.718	135563.6501	136969.2609	136485.2376	178629.2599	175080.7482	190106.1953	104454.4264	107509.9898	105126.0935	111348.4558	114455.6968	119099.9951	68539.84885	58908.62869	75623.23863	114431.2785	122648.4238	104738.749	119406.3952	121834.542	123325.7468	1.124513472	0.169300946	8.57723E-06	0.0051816
SENP3-EIF4A1; EIF4A2	146562	137192.3121	150336.4366	119343.1767	115700.5684	113265.8121	113022.4495	125248.8219	117267.809	56427.53788	59631.94222	55862.92249	116718.4211	126739.4069	134312.8704	140652.2836	137256.7028	127001.9032	165613.1309	162223.0857	160372.872	146550.323	150487.3534	143843.0891	137948.8248	126076.9173	134660.7765	62514.43993	53157.35687	62077.57471	154021.2911	147070.1487	150799.3068	149138.1596	151705.7913	160850.8806	0.865004995	-0.209219631	9.16678E-06	0.004983976
LASP1	132246	134757.0971	135506.1002	98307.39311	100922.2611	104812.135	106182.8436	113389.814	110195.9869	83742.14505	90964.19924	96960.66867	91320.19849	87416.71917	101555.0595	100273.4691	107269.7438	100192.6282	105855.1505	112862.4521	111884.3694	94731.17067	96143.00278	91893.10001	97650.76777	95031.39487	96215.67632	72591.55276	69669.93782	77254.37661	96140.16806	86710.25233	95962.74087	88944.30776	88864.70951	93201.24878	1.134246965	0.181734799	1.19399E-05	0.005901575
RPS6	100680	94315.29561	103505.087	132365.175	132141.1488	134595.8825	132000.5472	127276.0418	137187.9824	39453.01446	38744.66335	30563.04772	79840.14257	95996.63922	95003.99743	86212.25921	92222.89732	83183.26297	88259.71772	85385.20099	93494.8334	111074.5202	105305.3609	115151.6121	101842.1704	105192.1675	111598.3735	23863.64416	34009.30122	27075.64534	85153.10239	89017.37044	95161.656	70928.7802	73405.65012	68842.32009	1.168731254	0.224943225	1.20435E-05	0.005456707
SARNP1	48652.9	52130.14412	62046.60524	107072.5141	103551.3273	104041.5338	87357.32982	97862.26949	89761.18218	37395.68469	30006.84556	42617.99919	91392.98284	111720.6919	98516.63207	75084.41599	75125.80768	77777.26953	49411.38842	44113.11415	53253.31725	62356.38181	62327.21199	72470.78266	67276.15932	60607.93936	61721.44478	18320.22897	13290.74966	29951.6904	72219.86731	78126.81892	83313.0349	68915.88104	71904.45648	70448.29399	1.338534267	0.420654073	1.21243E-05	0.005070761
ATP5C1	41510.8	40093.01329	41230.04335	36565.22757	39786.51252	36431.47945	32201.16021	33293.48725	28689.65942	33608.35663	28945.03086	27536.49225	25476.93513	25019.88393	24870.71612	47252.17096	48767.16925	49905.99389	46089.97708	51854.75088	46029.56528	64302.34436	68475.42541	65148.42522	61982.92444	61321.87136	58953.32236	28411.06895	25503.76861	34332.1525	36452.93928	41113.96607	43188.39832	67148.94951	67192.68393	69386.41528	0.684375809	-0.54713933	1.2614E-05	0.004898736
CLTB	79753.7	76256.00514	71829.20836	139003.4118	132520.9646	132562.7678	152027.6165	148833.8228	150963.0828	43948.27021	52515.95268	38568.78944	106588.1141	110251.4219	115009.0618	121080.2909	124612.4272	117757.4734	69303.10421	71017.04364	67261.36892	100322.379	103130.3483	110063.6628	108967.1904	96838.82858	115531.7507	34375.23364	42876.91116	31786.4645	98474.07846	95236.46286	104902.2357	97969.31276	101708.0999	97954.35396	1.236711956	0.30650952	1.28104E-05	0.004643341
PRKCSH	296542	300558.5079	295480.7338	272374.9734	269056.6282	260363.1603	276222.689	270810.9815	273302.6697	274132.2354	233816.8838	266319.2882	229541.837	212377.8027	203737.1853	237912.6514	253004.9275	227208.9942	264483.3372	283138.9672	281851.4961	176841.4521	167125.2793	178608.8476	179856.2241	178626.4989	183560.1549	173472.2546	183521.8109	166007.5746	189665.469	183471.02	173604.1407	233204.8566	235010.377	234597.3305	1.268942452	0.343626642	1.6003E-05	0.005438035
CRYAA	29532.2	36210.06151	29053.30344	11673.04865	12886.52378	13277.1381	9558.690312	11590.34981	10788.71411	5025.197491	0	5561.047999	22198.3463	6842.139297	18438.02355	13611.3544	13539.57276	16777.20992	38144.97955	41964.4484	40940.49017	17487.66099	17309.00728	17732.3539	13703.09994	17612.12093	13830.22661	19835.90186	11325.79426	10395.60849	21646.62498	17850.29852	16646.4874	19772.95773	20227.90459	18348.31868	0.711262572	-0.491545846	1.65691E-05	0.005299198
RPS17L; RPS17	29263.4	33886.8093	26805.43793	23102.90639	32980.86238	24232.90639	23491.28523	26703.07991	21477.13933	7310.510605	6434.913221	9366.407702	15785.96886	23472.08397	14528.39274	22585.83428	23129.14356	24890.64606	44366.21945	43807.26783	45065.28724	52697.22652	48898.06897	50562.79217	52020.59804	47289.66033	43591.83353	7966.997257	11512.35875	10427.13111	21361.31397	28851.32055	19826.35594	33004.50029	32243.79518	30813.30732	0.623809008	-0.68082371	1.68287E-05	0.005083212
HIST1H2BE; HIST1H2BF; HIST1H2BG; HIST2H2BF; HIST1H2BC; HIST1H2BI; HIST1H2BJ	512987	508931.3762	490608.5757	1001416.882	1011636.988	977468.3082	795723.4464	850657.5812	814286.9701	341355.5855	249426.2682	326240.8393	691850.8565	664136.4762	738420.1747	779007.1873	912037.4651	943661.412	781113.8546	747170.4359	753835.2644	1556453.492	1585982.161	1588710.556	1002291.834	940913.1787	984276.8173	374808.1976	281113.4365	322384.9888	844056.1243	881780.6652	905787.1744	1198590.44	1193345.231	1202432.181	0.735480871	-0.443240275	1.96494E-05	0.005622834
CLTC	88373.3	89044.77349	87667.93303	121414.6751	122557.7485	118907.2445	107936.8147	111686.3322	110565.6774	65083.06004	59393.47871	58206.87913	129376.0904	137367.9343	126080.1493	125467.8097	130223.8859	128431.0456	105449.977	110039.1517	104404.6104	129476.0928	133342.3583	129926.53	125525.5998	130516.7393	121662.4843	66908.59169	65172.6051	65036.83949	130083.9878	133434.9907	132583.5553	133531.3853	135162.2439	133824.741	0.919323587	-0.121355339	2.03589E-05	0.00553456
SORD	26075.6	22670.44341	29259.65392	27003.17276	25940.14334	28098.70576	24855.49768	20275.74151	24474.68282	10534.25335	10817.91746	12623.45802	25798.59143	28854.4143	26403.37142	25065.96149	24709.01753	25959.61026	29075.04948	28734.07077	35460.48848	41450.59629	38512.01394	38894.46409	45095.93129	36156.11896	43410.25099	11772.37589	12878.59205	11256.80647	33636.73716	35715.45198	38278.59048	30731.11457	31661.03067	28189.52139	0.734653134	-0.444864852	2.35754E-05	0.006103782
UBA6	13336.3	12275.92566	14280.29752	14193.50598	12902.04064	13341.45092	12484.06639	12743.71681	12096.12742	9636.750789	12041.93226	9842.591925	14676.63887	13513.42915	13021.68285	15347.00988	14018.50177	15776.81027	13097.83814	13438.95001	17668.90686	16590.14186	17466.0641	17609.3968	17281.84583	18332.85023	17022.95262	10751.44918	14498.47269	14318.83499	18043.01839	15532.09152	15976.50429	14450.59827	15571.05507	15438.42018	0.831994369	-0.265354332	2.50942E-05	0.006201701
H2AFV; H2AFX; HIST1H2AM; HIST1H2AL; HIST1H2AH; H2AFJ; HIST1H2AC; HIST1H2AK; HIST1H2AJ; HIST1H2AE; HIST1H2AD; HIST1H2AG; HIST2H2AA3; HIST2H2AA4; HIST2H2AC; HIST3H2A; HIST1H2AB	2652130	2963714.742	2566884.142	2494549.208	2554272.635	2331212.672	1794835.654	1897016.161	1805578.189	1656916.674	1778077.559	1735046.834	2250013.236	2215568.854	2124054.561	1444306.892	1545497.18	1883511.064	3562436.192	3364073.878	3724528.152	5654472.221	5007543.417	5480286.14	4692760.594	4689552.498	4586429.357	2005058.157	1957497.457	1921366.745	3049748.668	3206050.991	2561565.979	2961465.213	2811693.678	2899042.266	0.587711083	-0.76682099	2.5657E-05	0.006065082
MSN; RDX; EZR	163622	161202.7638	166077.778	114882.8343	116425.1133	113820.539	93082.14587	92217.82192	100713.6082	45787.6059	49543.407	46218.12607	124201.0468	122277.6282	100704.1748	120264.9674	120858.7735	118828.7945	185802.1238	194250.5581	206787.4683	139181.5994	144491.1485	136491.3022	127953.2535	123042.9491	120363.7483	44595.14137	35950.68489	41499.29304	127294.1189	140043.3452	119552.5192	140073.441	141986.2422	144313.0394	0.85177551	-0.231454844	3.12157E-05	0.007071658
RPS6KA1; RPS6KA3	17540.2	17287.86005	17959.26546	15932.91977	17237.38291	18204.5599	12462.31774	12121.38087	14078.39796	7672.634338	3590.452062	9064.471896	15769.61159	20458.64864	20234.92617	15801.62409	21624.7231	23093.93343	26277.04816	26547.14619	31262.67611	30320.18342	31253.85757	30821.09849	30792.65528	27905.27899	28991.11101	14626.97439	12448.19533	16249.43786	28914.07279	29800.88576	32652.87747	16321.19064	14321.04561	16497.41103	0.628101646	-0.670930046	4.2078E-05	0.009151131
TUBB6; TUBB4B; TUBB3; TUBB; TUBB1; TUBB2A; TUBB2B	260346	198810.2428	253648.1314	308834.0352	356386.464	322490.7203	246233.595	256277.6203	234013.8772	111641.5584	122789.2751	94301.18112	337280.2292	339623.8545	273741.8857	434594.8931	417934.2589	408610.4406	475717.5453	488951.3239	475866.9573	520999.7327	498413.0733	543160.4937	377846.9549	355281.7816	342482.5881	90711.31652	96681.21558	89116.02336	437500.3786	474281.5101	356914.3935	443250.9641	520972.3435	486467.3034	0.703580001	-0.507213619	4.59839E-05	0.009615948
AKR1B10	38959.4	41511.4054	39272.65884	4222.28707	3124.911091	3203.273663	0	1197.636722	0	0	0	0	8549.404788	4026.30646	3672.839786	6582.980748	7584.124225	10014.44187	42226.49865	45538.00345	43270.06345	6109.788793	6987.83915	4586.233052	3804.137734	6949.750948	3341.501252	0	0	0	7426.411239	8286.345144	6621.721938	11556.10159	8495.5931	11625.68946	0.79290272	-0.33478422	5.17327E-05	0.010417428
ILF3	52833.8	49479.66912	46717.96481	52357.55259	49727.26393	51026.68444	48465.37027	48420.61587	50742.89219	26184.64567	25551.09311	27169.06889	80621.66857	72464.08829	72099.08965	69507.54015	70233.05953	73982.75731	54715.73357	54043.80719	55250.01336	84572.77814	90000.06199	84675.41774	81035.5879	85988.07636	81681.31178	34919.52753	33581.84131	33177.40012	86766.58176	91596.79418	93743.38277	78963.50927	78881.07849	74514.51509	0.757044995	-0.401549045	5.24539E-05	0.010185417
PFKM; PFKL	33876.1	30729.59688	33365.85178	38884.98331	39447.22587	35412.61697	32168.42278	20799.5733	31020.40686	9898.139475	14593.94958	17156.31597	41919.71956	46195.76542	27165.68743	28015.402	34625.44787	36045.99134	35139.5024	46126.35931	39511.93012	49622.55369	52839.40976	54228.65285	49684.39556	47021.54471	42634.28903	15545.80031	17111.68948	15258.13026	43272.51515	46186.71768	35434.54655	55972.26153	54491.92143	55674.18976	0.729495892	-0.45502824	5.89921E-05	0.011059993
NDUFA12	5985.21	4671.368635	6963.209603	4967.370137	3547.398236	2468.459441	3784.40182	2836.222342	5752.884627	0	0	0	5240.999624	1986.950881	929.4305588	4449.043461	4119.99428	5492.427622	7521.830042	9436.884753	9208.520744	5670.853443	4767.571821	5520.105068	6854.60939	6592.677053	7673.015406	0	0	0	4862.116349	3198.058617	3904.260448	7986.047977	7394.402479	6478.379996	0.651033328	-0.619196695	6.72813E-05	0.012193616
FAM120A	20868.6	16980.43016	22077.93074	17543.25353	18887.26556	15483.59775	19085.81075	14556.78732	13903.41417	21784.17735	18777.46843	16352.87172	23403.40472	20819.02731	14380.11831	17814.34149	17189.24014	19977.56746	22005.92358	19007.57446	21749.25984	24022.06145	20442.29075	22358.79604	23128.53715	19633.83135	20262.79608	25077.56331	18439.89886	19976.59366	22614.31864	21460.98962	20812.79517	20124.08079	22725.12899	22719.47695	0.853382842	-0.228734991	6.91452E-05	0.012127177
MAPK3; MAPK1	23545.9	29564.08113	25222.66495	37364.57952	42828.86	35790.88695	31375.51292	32235.31046	26218.32867	16567.89043	21602.58303	17777.51468	28140.97381	34574.76485	26230.50616	26292.64788	27056.74195	30738.88085	41809.86114	28272.3842	36612.29336	49880.4251	47803.60734	47271.37656	46884.42065	43782.25493	32974.12007	15779.24318	21247.79501	16509.7359	32536.23703	39404.70686	29278.59512	41643.89978	41528.47422	39529.84699	0.786103709	-0.347208438	7.84234E-05	0.013324632
ALDH6A1	47502	45511.73592	47990.52489	40916.75587	42594.02269	41041.94741	37970.38928	37387.80866	38384.74775	19335.18999	27260.93089	25847.05567	23534.92152	21505.42091	29314.0515	49979.01018	47286.3148	51468.0872	40267.61674	40875.81054	44435.70042	28491.79487	28992.80035	27403.60447	32421.54684	27980.91241	31951.63877	18943.14941	14502.72333	19406.58588	26546.36464	25373.90544	26797.65828	43492.50025	41203.02034	43494.56498	1.199524758	0.262462935	8.13829E-05	0.013408443
MAPKAPK3; MAPKAPK2	0	0	3573.848964	5569.993072	4454.370504	4049.955298	3834.297793	4815.344337	4593.358989	0	0	0	0	0	0	5138.737305	5126.812559	3880.250055	10033.62489	11514.78848	8567.516781	6094.153714	8503.818845	8251.235371	8199.880754	5418.33066	8256.255008	4335.669204	0	0	6010.856016	6279.369986	4606.191152	7973.119731	5074.522497	6633.24444	0.38907962	-1.361862681	8.17755E-05	0.013076861
C11orf54	33172.2	35234.49843	31295.67151	34218.18194	39410.86546	38894.2683	43053.84919	41571.37803	39680.8433	25241.96166	15856.39838	23985.68096	30753.74509	35284.83859	32653.09148	34027.64576	35891.03788	40249.21257	23646.84824	27753.58986	25309.77569	23088.02656	27144.57818	24321.87363	15494.90275	24046.24833	26168.00002	12607.70172	20524.02678	17609.48131	31261.14979	33226.51782	33469.58209	25381.74564	28587.59812	28010.15287	1.363728169	0.447556101	8.32174E-05	0.012927235
ADAM10	18270.9	20343.44926	18702.50023	19525.39765	20158.25882	19584.86499	28819.81804	24084.37804	25255.22979	13039.73878	0	16505.17248	23588.93343	16796.70792	23915.00775	20718.83875	21132.16172	23781.93584	12793.14316	12480.7961	17597.36548	14923.53059	16547.61828	13908.08702	17361.25816	17697.35688	7146.087161	0	0	0	19507.10344	17529.45281	18690.07125	17714.25991	17721.11434	18060.38782	1.477915523	0.563563808	8.36326E-05	0.012630844
MOB4; HSPE1	417494	413630.0794	439570.6999	477210.3494	489702.9573	481672.9991	534365.3848	538292.02	525375.6542	147140.8988	163328.0719	230137.6399	308456.3121	316078.0867	363887.1085	436573.4536	394146.3238	350499.8411	307185.5916	305904.6592	309021.3477	303316.0167	301568.1572	309073.8026	316130.6527	327323.3111	342837.882	118611.5566	119259.8476	119456.5453	269643.7845	322206.7124	341209.2564	370315.7969	387810.3297	391964.59	1.335317451	0.417182761	8.40896E-05	0.012356619
S100A10	175171	160168.8068	160992.6424	30796.46738	26969.58303	28562.26513	10929.96536	13291.77468	21781.92762	69570.99828	54308.87699	72437.75879	123653.2431	119155.1541	94143.83905	202299.6193	157660.8544	229365.5636	218657.7063	209167.0173	260586.3594	68277.02345	67431.44632	65015.43535	56266.89346	46546.92073	35810.89622	90669.07912	53619.05377	73194.26314	139967.2357	121574.0562	153583.7875	229191.8691	250045.9594	232537.32	0.738261075	-0.437797002	9.0477E-05	0.012945349
CD59	120628	125661.2294	116244.4314	87237.02497	76337.52735	84054.19506	94451.50932	94677.45446	100615.1081	43166.14626	27837.44083	59488.01817	65690.66874	63910.9323	100763.6721	139664.5896	159513.3755	136899.8389	44850.51701	86612.84971	46647.58756	54337.15754	55837.62437	44984.68658	52043.90263	61766.28513	61589.71272	26252.00673	30907.56985	27363.9197	99969.88777	54231.18889	93410.9945	103746.5629	108730.4016	86139.34889	1.48921195	0.574549098	9.30196E-05	0.01296789
PDIA3; PDIA3P1	1121200	1058525.821	1109924.092	1236554.398	1241071.189	1263089.807	1137116.526	1106848.353	1140592.758	863748.3624	883800.5283	831951.3269	942533.087	955694.0546	935694.9709	1177238.232	1220022.007	1243107.446	995369.1624	964103.6609	975050.0554	888640.0258	881900.9437	847369.5203	833643.9035	833873.0095	861266.4025	723906.002	748199.3716	668743.7182	905803.3567	877276.0626	871205.0497	1243898.019	1207919.718	1209213.316	1.177254887	0.235426712	9.36287E-05	0.012726482
SNRNP27	9287.7	7700.449156	10446.32129	17397.70746	16832.90227	17402.26332	18777.5523	16592.80632	17990.53564	11187.12945	8172.354387	0	20388.83752	17573.63675	15041.5702	14428.68708	14550.16371	13873.07267	9455.558598	7967.262906	9743.584509	12076.65736	11507.10415	11027.12295	10609.22211	13674.9753	11775.86238	0	0	0	14870.38486	17086.42002	13303.13214	10800.05004	10475.88539	11794.25522	1.405728756	0.491318244	9.4615E-05	0.012546869
HIST1H2AM; HIST1H2AL; HIST1H2AH; HIST1H2AK; HIST1H2AJ; HIST1H2AD; HIST1H2AG; HIST2H2AA3; HIST2H2AA4; HIST2H2AC; H2AFJ	143861	143253.2697	141801.6551	124523.6498	128942.8221	129970.6618	92304.23113	92182.8541	89414.53997	84756.04726	89919.14003	72408.88029	136734.6643	132445.7697	107068.0963	74793.07798	74021.26971	74960.44495	291240.5244	306753.983	271947.9469	380148.3566	395570.0268	372728.3492	234714.7913	244302.4168	248125.263	80485.72299	65832.53643	69108.53753	161343.7898	157305.4092	144661.7867	153567.4985	141410.1416	166016.9505	0.497614077	-1.006900797	9.46928E-05	0.012258208
GOLGA3	23642.4	26254.13849	22599.99157	25022.18012	26585.13536	26566.83911	27418.28949	27481.62835	28200.02587	15277.96449	17589.7284	14717.28243	21574.79416	20489.48789	20493.23418	19263.7349	20706.38833	20543.22501	21783.38722	26883.28543	21676.13117	20931.67441	20799.93156	21440.68662	21775.54545	19853.28695	22504.64618	14505.37941	12697.66931	12623.54847	17189.05517	18667.21542	17355.93641	21019.02291	17903.94031	20244.89738	1.15598231	0.20911932	9.99197E-05	0.012634035
HIST1H2BE; HIST1H2BF; HIST1H2BG; HIST2H2BF; HIST1H2BC; HIST1H2BI	64891.5	54505.19265	66668.09029	188294.479	204199.6115	196507.9139	142111.3784	136489.9505	133899.2962	87205.28988	60024.48719	82829.8419	107044.6904	112996.1152	104431.875	141140.8432	131392.6756	125728.1024	171608.1255	170846.4709	193321.5891	224463.4391	233687.0796	223512.1573	144051.0935	147695.5595	145644.2787	82393.79757	98638.82897	82684.62078	167084.2224	148666.5313	148871.8298	232054.0185	240039.4349	218004.9408	0.696444736	-0.521919218	0.000107162	0.013241833
EEF2	207139	196269.6627	206621.4262	139398.3667	141144.4037	137368.9403	129409.0243	125916.1818	128662.3959	105927.9352	104808.2109	106822.898	180079.2225	164775.2168	172018.1289	169752.2456	172878.3696	169668.3376	201821.3697	204699.3723	198152.6164	195099.3357	189434.0782	189807.6423	202888.0085	200406.9815	183789.7294	112474.1373	106460.7812	108553.659	238313.4841	233915.037	231034.8346	191394.6298	191242.8489	195064.5956	0.817488968	-0.290728833	0.000113326	0.013692257
TBCA	74620.1	76054.43276	72151.98684	121509.0958	127122.4856	126933.6679	135544.4319	125413.3764	139240.5446	30683.39001	44336.50744	32563.21694	138723.8834	120508.7769	116304.2488	103801.1442	97553.14903	98707.24146	62249.82559	73979.57923	70434.24614	117751.4791	113493.7423	119126.8163	111411.4113	119254.8045	113625.1887	33410.84006	34726.03658	32414.71032	110550.7585	106792.3482	102093.3883	90389.68786	95934.94788	85138.54318	1.118656388	0.161766959	0.000115677	0.013672545
RPLP0	189887	197029.8673	190572.817	148847.347	156980.8686	146996.2687	115125.887	124686.5941	123699.5527	86417.37997	88234.09001	67931.02478	152459.5953	156393.5491	129429.0881	173915.5769	129733.5438	156109.6977	280224.9747	249275.9682	268523.9379	185337.3032	180399.9458	167976.3467	157437.4277	156762.9383	143348.5332	97583.01675	78854.0273	117432.7931	166159.4498	147227.067	144434.7797	207406.0122	211604.138	172825.8948	0.809000885	-0.305786813	0.000124654	0.014420053
DLAT	28865.2	28411.07133	29756.58358	42601.93532	41469.97644	41417.10549	38446.1123	41944.36821	43254.13622	19635.88908	19306.90751	30300.1201	22129.18471	25247.43354	32380.71668	38586.90065	39604.85132	42126.91707	27055.92541	24606.04306	25264.19782	27358.22335	27850.66075	29183.86279	29808.56091	32888.88473	34114.01236	15464.41209	16969.33165	18580.85085	26016.59021	23440.56683	36724.84196	30077.76306	30802.68368	29192.03843	1.247396159	0.318919722	0.00012542	0.014206394
ACO2	174012	174292.6598	177634.1903	140534.8697	140193.7063	136959.7818	126357.3458	125461.3715	130697.7578	55607.12456	47178.37754	51969.92321	113878.4046	105182.2201	106942.0162	153297.7282	156755.2009	161203.8295	159863.151	167501.9079	162715.257	113444.2013	114946.5178	112448.3394	110957.4688	109616.6685	112831.5167	43419.31711	39811.03974	42871.31508	118415.4725	110769.7051	111526.0507	145733.6857	148346.9954	151715.6004	1.096885253	0.133412612	0.000127674	0.014166607
RPL11	100081	89246.83824	94612.48078	57511.19637	52171.51737	51016.65717	50967.60926	49127.85735	51679.15869	18395.8244	16954.4015	12022.16326	55593.95445	52830.3896	47909.83153	69259.24191	68460.43037	72194.50811	99136.01362	98922.5469	107129.1919	74720.53018	79873.1507	75845.58169	83092.02483	74695.49981	77403.24477	16774.42132	16691.72615	13720.92969	58892.6708	65519.47611	59024.22073	82787.85754	70918.20653	80835.30322	0.817191976	-0.291253057	0.000134784	0.014656401
CCT8	103035	100137.2615	107814.6903	155621.4575	154990.3097	160534.231	149012.5673	153383.0688	148901.3471	58118.99155	60399.32661	62720.36627	134369.9965	147506.3379	142511.2061	164761.9585	162110.9208	164049.2584	124664.1932	103158.5072	112090.3769	211199.0584	203094.6556	204377.4459	182046.4139	172835.849	181270.9687	61168.28523	64173.08619	56004.82074	176747.6814	180463.4184	176240.7544	162896.9739	180006.7363	172644.0662	0.855011773	-0.22598381	0.000136347	0.014535709
PNLIP	48082.9	49142.10676	42601.16474	0	0	0	0	0	0	23840.74133	31490.6569	33091.20475	0	0	0	0	0	0	59301.21885	54084.08556	63657.42938	20499.02474	19656.10921	20901.92716	16843.25562	20139.52869	18295.23289	43993.2584	32285.08667	33069.90798	7671.486345	6019.2726	0	0	0	0	0.548125727	-0.867421244	0.000136721	0.014295205
HARS	33816	34917.22133	34950.09729	47862.89631	38091.70044	36695.18503	38693.81794	34379.88971	41629.86004	22345.49934	21742.9319	17986.23958	33216.77603	38639.59835	38622.83025	43839.02184	37566.44403	39045.04765	37569.4196	43574.68551	47566.28773	47485.19426	43538.72951	41387.9405	45635.91304	36300.91218	40147.77804	23067.38793	25616.60381	24996.17689	37140.81665	41617.98779	38377.82796	45400.13722	42856.73019	47539.71536	0.893241722	-0.162877456	0.000137603	0.014116006
ALDH1A11	592557	597009.7445	596068.2003	2088471.049	2117727.674	2085717.527	1907631.002	1885840.168	1903046.226	296454.0805	320942.8656	302709.7503	1035647.645	979307.0079	994116.9693	822879.2028	871289.3979	879205.3777	735778.2533	714988.133	699924.1292	2290386.5	2349614.835	2258653.98	2012920.306	1888159.712	1982529.258	276314.64	273774.5116	264826.2605	1080200.747	1101012.33	1068474.152	975639.5725	992223.7603	950840.2991	0.925186123	-0.112184468	0.000144959	0.014595195
