	donor1_H1	donor1_H2	donor1_H3	donor2_H1	donor2_H2	donor2_H3	donor3_H1	donor3_H2	donor3_H3	donor4_H1	donor4_H2	donor4_H3	donor5_H1	donor5_H2	donor5_H3	donor6_H1	donor6_H2	donor6_H3	donor1_L1	donor1_L2	donor1_L3	donor2_L1	donor2_L2	donor2_L3	donor3_L1	donor3_L2	donor3_L3	donor4_L1	donor4_L2	donor4_L3	donor5_L1	donor5_L2	donor5_L3	donor6_L1	donor6_L2	donor6_L3	FC	Log2FC	pval	adj pval
RAB8B; RAB8A; RAB3D; RAB3C; RAB3B; RAB3A; RAB13	37010	36174.61156	48413.14089	33907.97535	37053.46014	34294.51913	43189.60653	45211.23194	45999.86816	0	0	0	29674.05578	28383.45489	82876.85844	43228.32237	66069.80101	46220.75642	10349.60403	0	13410.89089	57973.47226	46737.07937	54595.29465	56383.52687	68822.52707	81126.06934	0	0	0	25100.00786	21512.04038	39951.15323	61118.68582	70644.88116	70863.8257	0.969228216	-0.04509169	0.834335019	0.927854264
TBL2	8363.26	9425.28643	10647.46884	2061.825984	1625.669396	2514.538764	0	3582.819777	815.1057016	3346.728162	2878.352171	0	0	3373.703864	1706.437511	5010.432254	5128.006711	7263.182139	10682.45324	11541.60332	8485.612671	2612.437479	2591.089689	2467.212859	3471.898197	0	0	0	0	0	2497.186672	5499.43351	4645.71953	5523.649378	4238.86484	5486.00257	0.97131839	-0.041983819	0.834733246	0.928107292
CAMK2G	0	0	0	2280.9281	1712.969124	1420.748402	1147.447133	1716.269052	0	0	0	0	0	0	0	0	0	1360.15999	0	0	1852.910409	1979.414608	0	897.4018022	1832.392556	0	1658.435592	0	0	0	0	0	0	0	1142.388267	1097.046495	0.921465704	-0.117997623	0.834936783	0.928143792
VPS41	0	0	0	685.9630336	556.4393673	649.2943177	0	822.603326	932.1900413	0	0	0	0	0	0	0	0	0	0	0	0	0	392.059807	673.2063021	0	0	0	0	0	0	0	2040.492916	0	0	0	0	1.174105929	0.231562576	0.83524615	0.928297898
RGPD8; RGPD5; RGPD6; RANBP2	5728.9	5095.015296	6601.634869	4751.135187	4018.474009	2343.556583	4588.483615	3373.19564	4584.070859	0	5140.827629	0	8162.26454	7115.474182	7787.345629	3268.992311	3917.907793	4321.548645	6810.545399	4308.674507	7706.537245	5765.862269	5060.078922	4878.6324	5424.767761	3516.597932	4495.353855	0	1671.089268	2840.787007	3716.58021	4367.403655	3217.272638	5811.1881	5695.582658	7698.556505	0.973649815	-0.038525112	0.835328973	0.92820021
GMPR	11824.5	9021.816701	0	7353.208861	6953.465635	8256.923758	7253.803115	8517.568966	7739.225892	0	6899.955933	0	0	8478.998601	0	8030.999423	6566.854472	4583.390237	5708.619535	0	11582.78754	7076.13392	6941.608355	4902.454642	9670.742883	7256.352213	0	0	0	0	6546.332526	7258.917056	7963.416743	7107.663835	6693.978004	7927.756736	1.050125308	0.070561491	0.835393387	0.92808211
TOR1AIP13	16731.5	12846.17758	14333.21042	17346.3518	17671.7393	11268.35391	17075.89243	11797.18567	14158.8951	12541.04116	7301.664602	8319.157841	6211.578286	14277.69186	19073.94681	14379.51387	14045.97784	16134.63152	25928.85743	20487.10322	20714.46083	10124.92917	10894.61622	13692.71701	8671.031121	12718.39057	12065.89156	6955.135337	5468.372341	7689.620084	15852.48922	9042.953092	11948.06683	17210.26113	24858.20619	16906.20438	0.977252671	-0.033196473	0.835454306	0.927960176
FSTL4	0	0	0	6541.236779	5285.611213	5833.149043	4632.736387	5744.334426	5393.078501	0	0	0	5108.670443	0	0	3128.430971	7311.297427	2009.037758	5930.593932	0	0	0	3257.829526	0	1232.260662	4315.81983	0	0	0	0	3969.327196	6030.455648	4828.866297	7877.134706	3006.654311	6885.686638	1.077172977	0.107249942	0.835628739	0.927964349
RAD21	3116.04	3017.194939	4010.925199	3007.322774	2614.163097	2650.932639	1552.933474	2116.410721	1877.326131	0	0	0	6708.970895	4602.758136	1215.704395	1512.758107	1144.092947	1547.93044	5704.359874	4330.339556	5138.915977	2810.187882	2914.548201	2214.966864	1951.223884	783.5201417	883.166721	0	0	0	2862.990219	1945.180714	1887.105208	3184.843107	2755.781819	2729.299969	0.96672007	-0.048829901	0.835953682	0.928135628
SOD3	0	0	0	3954.097698	1572.599406	2489.678059	3774.076936	3433.795117	4736.476469	2189.564192	3719.478008	4391.140048	2694.491738	2084.028436	2885.359846	0	0	0	0	0	2994.193834	1826.783223	0	1124.661754	0	2570.370993	0	6563.253483	7741.576496	4908.765459	3752.555108	3160.450521	2029.546908	1920.693326	1490.058568	0	0.946158507	-0.079846202	0.835954124	0.927946625
TMED4; TMED9	3684.24	4693.190052	2387.353333	1391.266193	992.5929329	871.0686379	2508.61478	1074.359126	2330.735974	1005.1382	197.7752963	0	2525.891144	1272.130097	1516.692096	1361.399812	2455.747644	2181.413324	2257.867372	1897.627178	4713.375149	922.1768753	1066.846562	858.025431	0	1373.205102	1427.516394	0	0	1592.436084	1197.518311	1450.751935	2998.377473	2609.754988	2775.988335	4028.657462	1.041048408	0.058037154	0.836585272	0.92845767
YTHDF2	10392.4	12680.05515	8083.097812	14567.73442	15828.47483	13533.92833	19258.08292	18647.3377	17252.07192	15810.95236	7105.763502	10457.83722	14292.9567	18648.60491	22951.90129	13751.36585	16685.47698	17768.82474	22290.83755	13106.06445	11427.80012	19736.0374	19201.20536	21168.57575	15451.27567	16009.57718	19963.91188	0	0	9469.3951	22233.52382	25588.56973	17097.58576	12513.17616	14258.27644	14075.24086	0.978529318	-0.031313019	0.836731976	0.92843097
MYO5B; MYO5A	10978.5	16071.1388	17889.9584	6499.599547	12248.13221	10164.16747	6558.144046	2690.785883	7635.084161	0	3068.751594	1846.846607	12660.85289	16467.60906	9665.387601	13309.75875	11440.61244	11526.12952	15103.81234	11733.90728	12468.49477	6693.521032	9580.465752	8551.025523	10001.72331	10953.57483	11760.88537	0	2164.642785	788.73536	12517.70946	13717.90624	10179.78626	10785.10409	12167.65442	8534.261898	1.017997558	0.0257341	0.837052608	0.928597231
IGF2BP2	6734.26	6487.174433	7888.439216	1133.286924	1908.933218	1475.252935	4037.590403	3122.421453	1528.734563	0	0	0	5279.115346	4081.773055	3148.856938	2968.062877	5189.62708	5155.668545	7591.389513	11938.5528	9275.458986	1057.955612	0	2421.864763	0	0	0	0	0	0	4437.799163	3061.058441	4218.186168	5447.019358	4194.163298	4642.606899	1.031793917	0.045154846	0.838173607	0.929651143
AKAP92	6780.99	6927.167463	7802.40422	7250.336342	7420.488496	7682.465119	8797.235865	8667.747793	7557.304667	0	0	0	9450.053395	10030.62042	9043.749946	6043.598285	7848.454577	7638.701613	10259.98257	10061.40139	7917.46527	6655.524284	6596.352601	7130.296887	6477.163362	8228.236251	8664.832108	0	0	0	6460.884367	6214.771934	7766.180963	8487.06824	8026.060312	8323.255217	1.014256416	0.020422429	0.838362281	0.929670757
SRCIN1	4107.9	4901.63579	0	4748.003182	5088.732319	2376.254692	3639.429922	5111.770967	4648.009891	0	3562.969595	0	4348.551606	4410.431353	0	0	3986.513423	4110.080572	2926.162037	0	0	6598.840056	10135.38114	6250.033276	7140.029892	6295.052537	4123.967832	0	0	0	3872.682239	2114.098081	3364.671005	0	0	4630.477865	0.958032131	-0.061854052	0.838760999	0.929923237
