"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PARP14",3.39658752899181e-06,-0.273045359210038,0.342,0.435,0.0869764168548932
"ATP1B1",3.44309431189815e-06,-0.328843374365723,0.751,0.796,0.088167316044776
"SMYD3",3.62137992855193e-06,0.328237219985711,0.217,0.145,0.0927326758304294
"TNS1",3.68669746794587e-06,-0.256618183051265,0.289,0.376,0.0944052620616899
"KDM5B",3.97055263260339e-06,-0.295128079373029,0.403,0.507,0.101673941263075
"SERPINA1",4.06035441830485e-06,-0.694455699944137,0.687,0.709,0.103973495589532
"CCN2",4.26609204314283e-06,-0.515879072606763,0.285,0.375,0.109241818948758
"ITGB4",4.29995668550169e-06,-0.341659173537533,0.225,0.324,0.110108990845642
"BHLHE41",4.41336414730578e-06,-0.275869383016258,0.228,0.321,0.113013015720059
"SLC9A3R1",4.50973561091755e-06,-0.292586451371406,0.441,0.542,0.115480799788766
"CNTN4",4.6134794749155e-06,0.250150759137308,0.147,0.08,0.118137368914161
"NAA38",4.80571930462184e-06,-0.281990001791877,0.362,0.44,0.123060054233451
"GOLM1",4.98110126914689e-06,-0.354950297673467,0.449,0.555,0.127551060199044
"EPSTI1",5.65621598276604e-06,-0.259658073242773,0.18,0.268,0.14483872267069
"BMP2",5.65803153234119e-06,-0.377846392445212,0.225,0.314,0.144885213448661
"MEIS2",5.87841327954427e-06,0.438076851748585,0.499,0.427,0.15052852884929
"MRTFA",5.88322130226558e-06,0.368533551497112,0.245,0.165,0.150651647887115
"PGM2L1",5.95180806408771e-06,-0.33449170251714,0.267,0.35,0.152407949097094
"JAK1",6.11211364164393e-06,-0.408314842211623,0.578,0.653,0.156512894021576
"BTG2",6.13517482639886e-06,-0.415622330590272,0.377,0.468,0.157103421779596
"KIF26B",6.26868501397643e-06,0.278063789554409,0.113,0.055,0.160522217152894
"KLF5",6.3715293308685e-06,-0.43640056810722,0.295,0.382,0.16315575157555
"ADAM9",6.60470958392542e-06,-0.383459852895761,0.439,0.535,0.169126798315578
"DDX17",6.87481694323522e-06,-0.289347180943702,0.637,0.699,0.176043437465424
"GSTA1",6.98278318728016e-06,-0.408038691453758,0.179,0.262,0.178808129076683
"C5orf46",7.42202870207238e-06,-0.271906126275029,0.069,0.131,0.190055888973967
"EIF3J",7.47947224353729e-06,-0.28912157940636,0.353,0.451,0.191526845740259
"MAML2",7.72627583906462e-06,0.449944962987441,0.387,0.318,0.197846745410928
"DDX52",7.79093424504617e-06,-0.267653197732028,0.335,0.434,0.199502453212897
"MSN",7.98776117625973e-06,-0.255356602143721,0.371,0.467,0.204542600440483
"CAPZA1",8.35896046215613e-06,-0.263709354043009,0.335,0.428,0.214047900554432
"UGCG",8.65224841005335e-06,-0.312910515737911,0.398,0.504,0.221558125036236
"FAM102A",9.48552395449949e-06,-0.277482395114776,0.34,0.438,0.242895811902869
"PCSK5",9.92626893385912e-06,0.286846843149126,0.21,0.141,0.25418196858933
"BOD1L1",1.04926136997978e-05,-0.270306325597214,0.424,0.514,0.268684359010721
"TRIP11",1.09135690900716e-05,-0.274394433014451,0.491,0.583,0.279463763689462
"MEIS1",1.14546472576537e-05,0.420980795063663,0.339,0.274,0.293319152326739
"STK17A",1.15747331564587e-05,-0.35809088280732,0.379,0.476,0.296394191937437
"TMEM176B",1.1948966429484e-05,-0.536237887900623,0.202,0.281,0.305977183359796
"PAN3",1.21401647672297e-05,0.293257515837868,0.225,0.155,0.310873199194451
"RAMP1",1.28239371904742e-05,-0.316503397919966,0.228,0.309,0.328382559636472
"DTNA",1.3917253488515e-05,0.414148229997149,0.29,0.217,0.356379110080404
"ASS1",1.50150720022633e-05,-0.406474301213342,0.214,0.297,0.384490948761957
"FOLR1",1.64181973060618e-05,-0.28278382593289,0.053,0.107,0.420420778416325
"RBM39",1.78900176594271e-05,-0.264571032817246,0.607,0.687,0.45810968220495
"SIK3",1.82653937771906e-05,0.294001358937469,0.24,0.17,0.467721938452519
"IL1A",1.85053170440064e-05,-0.277024970398115,0.098,0.165,0.473865653545871
"SPTBN1",1.90827701717855e-05,-0.408112238233868,0.715,0.762,0.488652495788912
"PDE5A",2.05255616037983e-05,0.277237615188924,0.306,0.223,0.525598055988463
"ARHGAP26",2.11924741303509e-05,0.369499289078261,0.31,0.238,0.542675685055896
"KANSL1L",2.56946535775485e-05,0.265091622437469,0.3,0.233,0.657962994160283
"TBC1D5",2.60669047438073e-05,0.341705690818456,0.319,0.248,0.667495229774673
"ZFAND6",2.86789144985694e-05,-0.266389458014725,0.35,0.441,0.734380963564866
"IGFBP7",3.17636315660103e-05,-0.293180405932703,0.694,0.713,0.813371313510825
"OLFM4",3.30018142576419e-05,-0.306378835496309,0.48,0.556,0.845077457695436
"AMBP",3.47175367080649e-05,-0.455614012857608,0.33,0.404,0.889011962483417
