"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HM13",5.43524666705619e-06,-0.337876086691058,0.675,0.749,0.139180361403308
"TRAM1",5.44264782075874e-06,-0.284256750194,0.632,0.747,0.139369882746169
"COL3A1",5.47352547763451e-06,-0.281942352494445,0.896,0.925,0.140160566905787
"FRMD6",5.60418508945837e-06,-0.317595730649553,0.325,0.475,0.143506367585761
"SFRP2",5.77721646514393e-06,-0.34175771937825,0.824,0.877,0.147937182022941
"RRAGA",5.78015993662061e-06,-0.27843009723334,0.55,0.677,0.148012555497044
"RAB2A",5.89858906432809e-06,-0.256415285512158,0.756,0.832,0.151045170170249
"ATF4",6.04063279626856e-06,-0.400215904353109,0.692,0.784,0.154682484014049
"TNFAIP6",6.21135089935019e-06,-0.273379136886764,0.649,0.77,0.15905406247966
"NOTCH1",6.21444017027583e-06,-0.2979741684719,0.388,0.513,0.159133169440253
"GABARAPL1",6.33007855873845e-06,-0.252993235210122,0.345,0.463,0.162094321653615
"GARS",6.37900645890308e-06,-0.499253891268115,0.651,0.719,0.163347218393131
"MAF",6.39911023534757e-06,-0.267620748237571,0.257,0.382,0.163862015796545
"REEP5",6.42675303829906e-06,-0.306608282780936,0.739,0.786,0.164569865051724
"COL1A1",6.46513431136901e-06,-0.282823578253214,0.954,0.976,0.165552694311226
"IMMT",6.79234359375796e-06,-0.303827109690834,0.408,0.501,0.17393154240536
"TRIP11",6.81231340493567e-06,-0.28042391687896,0.507,0.632,0.174442909360188
"DNAJC21",6.83665581283793e-06,-0.295070376746613,0.44,0.572,0.175066245399341
"SERTAD1",6.8492917613445e-06,-0.279176080412736,0.419,0.545,0.175389814132749
"LIMA1",6.91908717707955e-06,-0.312056637430929,0.677,0.792,0.177177065343476
"RRAGC",6.95902708348935e-06,-0.348703852272532,0.328,0.446,0.178199806526912
"ZFP36",6.9800467032572e-06,-0.567062971970643,0.284,0.396,0.178738055930307
"PMM1",6.98658622094217e-06,-0.285678510824719,0.365,0.491,0.178905513359666
"COPB1",7.01286438379197e-06,-0.358269455758674,0.547,0.657,0.179578418275761
"COX5B",7.20497265216967e-06,-0.276751503695007,0.811,0.881,0.184497734704109
"XAF1",7.28090426116592e-06,-0.389970594830447,0.312,0.434,0.186442115415676
"GCC2",7.28850289639451e-06,-0.264546251221805,0.498,0.606,0.186636693667974
"PRPF6",7.32211106015913e-06,-0.250825731701066,0.402,0.525,0.187497297917495
"SEL1L",7.33017565864556e-06,-0.604132990126419,0.447,0.554,0.187703808090937
"SARAF",7.39876813801403e-06,-0.268435931785766,0.72,0.79,0.189460255710125
"NARS",7.4111848176671e-06,-0.267080077172086,0.621,0.737,0.189778209626001
"RPL37A",7.7283362774271e-06,-0.358140211666358,0.968,0.982,0.197899507056076
"RALBP1",7.7593109083291e-06,-0.250877311362427,0.522,0.64,0.198692674429583
"TNIP1",7.94074866193242e-06,-0.260069396760044,0.345,0.473,0.203338750986103
"UBA2",8.14233036784633e-06,-0.29535959668879,0.457,0.596,0.208500653729441
"CRTAP",8.1634512210688e-06,-0.304344728816121,0.648,0.733,0.209041495417909
"LAMA4",8.23972575682992e-06,-0.291355774484142,0.592,0.669,0.210994657455144
"DRAP1",8.30027546295334e-06,-0.277900062040835,0.694,0.786,0.212545153779846
"PSMD4",8.43757295546215e-06,-0.265926662557122,0.646,0.735,0.216060930670519
"AIDA",8.51987188381415e-06,-0.30439094230138,0.473,0.602,0.218168359328829
"YWHAZ",8.52412378743137e-06,-0.290361027984159,0.77,0.798,0.218277237824755
"KTN1",8.71392569872622e-06,-0.28448051610977,0.725,0.792,0.223137495367282
"MYOF",8.9348112755549e-06,-0.384305038122027,0.584,0.679,0.228793712333134
"SYTL2",9.01602081212022e-06,-0.289149817828227,0.175,0.273,0.230873244935963
"SERPINE1",9.13551036260067e-06,-0.302195517457398,0.663,0.754,0.233933013855115
"PALM2-AKAP2",9.20627379113976e-06,-0.313408180502739,0.595,0.695,0.235745052969716
"MT-ND5",9.35148010219006e-06,-0.312645587405566,0.359,0.491,0.239463350976781
"SDC2",9.44333656411151e-06,-0.261407212322589,0.632,0.741,0.241815519397203
"COL1A2",9.45545144796551e-06,-0.284775333417641,0.946,0.956,0.242125745228053
"MRPS21",9.47326986530856e-06,-0.266114950089993,0.689,0.778,0.242582021440956
"RELB",9.89780418573494e-06,-0.314622309998125,0.155,0.261,0.253453071784115
"TMEM87A",1.00364665151103e-05,-0.267631524443878,0.369,0.491,0.25700379805243
"RTN3",1.00452423302153e-05,-0.263345769718296,0.451,0.572,0.257228520349823
"SNHG5",1.00932953397709e-05,-0.336647311060843,0.79,0.838,0.258459013765513
"TUBB6",1.03194578188964e-05,-0.261499329737875,0.558,0.657,0.26425035636848
"PKM",1.04401708196605e-05,-0.25010915464844,0.815,0.861,0.267341454179047
"SMS",1.07782918484534e-05,-0.269001455892408,0.343,0.475,0.275999719363345
"CSTB",1.07852743305346e-05,-0.450746922655475,0.768,0.808,0.276178519782
"EIF4EBP1",1.10628906730799e-05,-0.36553369539108,0.672,0.756,0.283287441465556
"ACTR10",1.12195515718672e-05,-0.255973854098848,0.495,0.606,0.287299057100804
"BFAR",1.15361503252155e-05,-0.318298990668323,0.413,0.517,0.295406201377793
"UBE2B",1.15421398151443e-05,-0.302194451033124,0.646,0.741,0.295559574246399
"WAC",1.18171380156916e-05,-0.286134127107564,0.498,0.608,0.302601453167814
"RBP1",1.20453882113479e-05,-0.420328779688175,0.717,0.77,0.308446255927985
"TMED7",1.21774323358208e-05,-0.287328502206685,0.467,0.61,0.311827509823364
"SLAIN2",1.22049690274499e-05,-0.276826150421032,0.399,0.525,0.31253264188591
"KPNA4",1.22875914785306e-05,-0.285274439267345,0.366,0.477,0.314648354990734
"BCAP29",1.23211230748603e-05,-0.282278661272321,0.532,0.642,0.315506998577948
"HLA-E",1.24117372526081e-05,-0.261177880888324,0.604,0.699,0.317827355827536
"PLOD2",1.24278342420252e-05,-0.579616067626447,0.68,0.76,0.31823955143554
"PSMB9",1.25098753567217e-05,-0.254377142908876,0.366,0.485,0.320340378259572
"NNMT",1.25676323162903e-05,-0.302541652456809,0.782,0.855,0.321819360723246
"CBR1",1.27639804990419e-05,-0.320981897528249,0.614,0.701,0.326847248638965
"SLC25A24",1.27934111404123e-05,-0.317855160298713,0.394,0.513,0.327600879072537
"COL14A1",1.28156861251173e-05,-0.348776637324925,0.357,0.473,0.328171274605879
"FAM114A1",1.28849095347483e-05,-0.255254486676072,0.578,0.685,0.329943878456299
"RPL34",1.31144226542056e-05,-0.293551699545859,0.971,0.962,0.335821020906244
"YIPF5",1.32178673343148e-05,-0.252075012727909,0.49,0.594,0.338469928829799
"RPL21",1.32182289130056e-05,-0.265348792035573,0.971,0.964,0.338479187775335
"NDUFS7",1.32219518635947e-05,-0.273948255576789,0.646,0.733,0.33857452137107
"DDT",1.33531073586166e-05,-0.292292674265939,0.762,0.82,0.341933020132096
