"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COA3",5.22525468282363e-11,0.251479428206697,0.603,0.538,1.33803096663065e-06
"SNU13",5.69625961123596e-11,0.33250269352959,0.734,0.688,1.45864119864919e-06
"NBDY",6.97497207887159e-11,0.254689490869348,0.604,0.542,1.78608110023665e-06
"OST4",7.31098784546768e-11,0.324378994221821,0.777,0.72,1.87212465758891e-06
"IFI27L2",8.03367779082101e-11,0.289350555606539,0.59,0.533,2.05718387189554e-06
"ZFAND3",1.00917953211661e-10,0.326095651706863,0.347,0.29,2.58420602789101e-06
"ANXA2",1.38742577395697e-10,0.282766186373428,0.611,0.52,3.55278117937163e-06
"TMEM14B",1.41464897840609e-10,0.27329791295868,0.635,0.581,3.62249163900447e-06
"PPP1R1A",1.58784582647044e-10,0.353569844385832,0.66,0.585,4.06599680784286e-06
"ATP5MC3",1.59203196133984e-10,0.289720023597924,0.812,0.767,4.07671624340293e-06
"JTB",1.83999184504442e-10,0.330308077721093,0.697,0.661,4.71166711760525e-06
"MEIS2",1.84866382612828e-10,0.655232247171761,0.753,0.786,4.73387345956668e-06
"PYURF",1.95093733268962e-10,0.262529694449632,0.634,0.584,4.99576522781831e-06
"TNRC6A",2.13319251263004e-10,0.280449922271182,0.462,0.411,5.46246606709175e-06
"CRIP2",2.25534514196173e-10,0.250653303406546,0.519,0.46,5.7752623050214e-06
"PLCG2",3.67730897930367e-10,-1.23973214395245,0.241,0.288,9.4164851033029e-06
"FKBP11",4.3068858332065e-10,0.372378260942644,0.317,0.255,1.10286425530919e-05
"NDUFB7",4.68675978062047e-10,0.274284812879723,0.75,0.685,1.20013857702348e-05
"TPM3",5.01426609599376e-10,-0.274946862272528,0.671,0.711,1.28400311920112e-05
"PEMT",5.07297858770626e-10,0.352466066693117,0.62,0.563,1.29903762695394e-05
"MRPL33",5.2573167538102e-10,0.278592341421702,0.711,0.661,1.34624110114818e-05
"COPE",5.78822746453122e-10,0.256619823986166,0.705,0.647,1.48219140684251e-05
"DYNLRB1",6.91833281684415e-10,0.26281132749671,0.733,0.672,1.77157748440928e-05
"NDUFA13",7.91584138834393e-10,0.293848405797145,0.81,0.767,2.02700950431323e-05
"RPS27L",8.06458656957609e-10,0.316465814690434,0.702,0.661,2.06509868287135e-05
"BEX1",9.90757906987094e-10,0.313945502858947,0.828,0.799,2.53703377242185e-05
"PSMD8",1.33390222850075e-09,0.309736188312285,0.739,0.699,3.41572343652187e-05
"SSBP2",1.45703055162999e-09,0.398981513637632,0.477,0.426,3.73101813355892e-05
"PARK7",1.51988778843797e-09,0.275586288156537,0.795,0.744,3.8919766598531e-05
"ATP6V0E2",1.83074754134494e-09,0.280503379656025,0.534,0.48,4.68799522912198e-05
"RORA",1.93239634032655e-09,0.481140310625682,0.457,0.409,4.94828730867421e-05
"FBXW7",2.13673243661598e-09,0.345889328876641,0.405,0.357,5.47153075044255e-05
"GDF15",2.17816027032602e-09,0.251743128087948,0.069,0.115,5.57761500422384e-05
"MRPL41",2.18618952083309e-09,0.293502087882436,0.69,0.646,5.59817550599728e-05
"CALR",2.3220445614331e-09,0.449426549075043,0.66,0.611,5.94605950846174e-05
"CACNA1D",2.63884848424899e-09,0.461940160150645,0.543,0.512,6.75729931361638e-05
"TMCO1",3.51039063168076e-09,0.278529177206806,0.685,0.641,8.98905729054493e-05
"CCT3",3.55990264382984e-09,0.342839811118492,0.684,0.643,9.11584270005508e-05
"SLC35B1",3.88376203510994e-09,0.260084108878181,0.485,0.421,9.94514944330603e-05
"SERF2",4.06049325229693e-09,0.288304666397575,0.881,0.854,0.000103977050711568
"PTPRN2",4.45515929639445e-09,0.32417671795411,0.455,0.408,0.000114083264102773
"PBX3",5.81949145644382e-09,0.282924508413902,0.297,0.249,0.000149019717725157
"HSP90AA1",5.89901753627938e-09,0.264907351283989,0.849,0.873,0.000151056142051506
"TOMM5",6.66480799420851e-09,0.25773199188324,0.65,0.613,0.000170665738307697
"PLCXD3",7.00099276716316e-09,0.402847382259077,0.659,0.637,0.000179274421788747
"HMGB1",8.81364175874404e-09,0.306520706160583,0.841,0.821,0.000225690924516159
"TCEAL3",8.85391625114579e-09,0.309327083377039,0.652,0.602,0.00022672223344309
"SEC11C",9.45226200867935e-09,0.461213385188098,0.843,0.832,0.000242044073256252
"PCBD1",1.19068454428525e-08,0.258096410620407,0.674,0.618,0.000304898591255125
"ARID1B",2.61938346757345e-08,0.287680421708998,0.438,0.39,0.000670745524541532
"NDUFA1",2.7315325498955e-08,0.253956236184192,0.768,0.729,0.00069946354005174
"DDX46",3.43950916462604e-08,0.253055320618043,0.579,0.542,0.000880755111785789
"NPDC1",4.50625298983038e-08,0.254660749676287,0.727,0.689,0.00115391620310587
"MRFAP1",5.06768432739146e-08,0.260447402572672,0.69,0.655,0.00129768192571513
"UQCR10",1.02886298369412e-07,0.257176658417199,0.753,0.714,0.00263460944234553
"MTCH1",1.28444481250678e-07,0.289497657201714,0.632,0.607,0.00328907783138612
"DSTN",1.55486240087137e-07,0.301340682167389,0.859,0.825,0.00398153614991132
"ID3",1.55625737399512e-07,0.472479281201517,0.187,0.139,0.0039851082575893
"ST18",2.35275819739023e-07,0.288229005926218,0.469,0.417,0.00602470791605716
"DNAJB11",3.19255789123913e-07,0.292135441554926,0.423,0.38,0.00817518299209605
"TMEM208",3.47746904106566e-07,0.263169422805893,0.663,0.63,0.00890475497345683
"MRPL40",4.20268636836775e-07,0.25587151445843,0.605,0.573,0.0107618189834793
"KCNMB2",4.22591915748043e-07,0.674638352395053,0.442,0.425,0.0108213111865601
"IER3IP1",4.49288800630948e-07,0.255910698202136,0.632,0.6,0.0115049383177567
"P4HB",4.68149611864172e-07,0.345890121423308,0.692,0.678,0.0119879071110058
"ATP5IF1",1.28219529658645e-06,0.261639879980148,0.785,0.748,0.0328331749596893
"SCG2",1.51828933078899e-06,0.432909040105983,0.719,0.713,0.0388788348935137
"NAP1L1",2.79517957621393e-06,-0.281475219688386,0.749,0.751,0.0715761634081102
"COX7A2",3.28057620324697e-06,0.260248151791675,0.829,0.799,0.0840057148365452
"PDIA4",5.56969264924096e-06,0.564654934263388,0.351,0.304,0.142623119669113
"DNAJB1",7.27691707574199e-06,-0.598023504027882,0.362,0.297,0.186340015558525
"NEFM",8.24670387241297e-06,0.335622034698862,0.265,0.22,0.211173346060879
"TUBB",8.83778462197078e-06,0.259816410604501,0.654,0.611,0.226309150814806
"FTX",1.71071485969203e-05,0.422845820908317,0.462,0.44,0.438062754121337
"NRXN1",2.81408338726529e-05,0.562518357392474,0.537,0.55,0.720602332977024
"NUCB2",3.50154496840981e-05,0.367455782915236,0.743,0.714,0.896640620060701
"SELENOK",4.25546416812486e-05,0.305437556927497,0.739,0.715,1
"IGF1R",5.4448309054835e-05,0.313200711492426,0.499,0.471,1
"ANAPC16",0.000108405363148111,0.253002528583236,0.724,0.712,1
"JMJD1C",0.000163269149188953,0.315414743156958,0.534,0.53,1
"CNPY2",0.000229049605034838,0.259870174616538,0.737,0.716,1
