Protein	Donor	Type	Replicate	Value
APOE	4	H	3	613094.9612
APOE	5	H	1	149946.7241
APOE	5	H	2	151247.7998
APOE	5	H	3	177669.854
APOE	6	H	1	122205.4584
APOE	6	H	2	141046.2868
APOE	6	H	3	119824.0518
APOE	1	L	1	250080.2896
APOE	1	L	2	223173.5669
APOE	1	L	3	227228.3485
APOE	2	L	1	111822.9239
APOE	2	L	2	111540.1799
APOE	2	L	3	110206.4625
APOE	3	L	1	184738.039
APOE	3	L	2	197766.8249
APOE	3	L	3	197810.1749
APOE	4	L	1	671118.1857
APOE	4	L	2	698184.7841
APOE	4	L	3	720910.5024
APOE	5	L	1	268216.1927
APOE	5	L	2	264655.3405
APOE	5	L	3	255431.8416
APOE	6	L	1	184310.2496
APOE	6	L	2	183220.4322
APOE	6	L	3	175200.3617
REG1B	1	H	1	237623
REG1B	1	H	2	238784.9911
REG1B	1	H	3	237651.5515
REG1B	2	H	1	12339.9813
REG1B	2	H	2	4807.853925
REG1B	2	H	3	6833.778032
REG1B	3	H	1	0
REG1B	3	H	2	5630.471861
REG1B	3	H	3	8031.767605
REG1B	4	H	1	0
REG1B	4	H	2	0
REG1B	4	H	3	0
REG1B	5	H	1	0
REG1B	5	H	2	0
REG1B	5	H	3	9951.495761
REG1B	6	H	1	46178.29163
REG1B	6	H	2	43809.74665
REG1B	6	H	3	39716.33745
REG1B	1	L	1	330209.1132
REG1B	1	L	2	376146.0918
REG1B	1	L	3	401022.8823
REG1B	2	L	1	6961.047074
REG1B	2	L	2	6940.194844
REG1B	2	L	3	7402.686444
REG1B	3	L	1	7713.687328
REG1B	3	L	2	7687.872696
REG1B	3	L	3	6802.840418
REG1B	4	L	1	0
REG1B	4	L	2	0
REG1B	4	L	3	4949.855194
REG1B	5	L	1	9443.110121
REG1B	5	L	2	9043.141394
REG1B	5	L	3	11743.76051
REG1B	6	L	1	87612.19661
REG1B	6	L	2	78278.53739
REG1B	6	L	3	79209.75601
POLR2H	1	H	1	9367.75
POLR2H	1	H	2	6182.846413
POLR2H	1	H	3	4413.603142
POLR2H	2	H	1	5581.277499
POLR2H	2	H	2	5626.85484
POLR2H	2	H	3	7186.749337
POLR2H	3	H	1	5584.949356
POLR2H	3	H	2	5501.513706
POLR2H	3	H	3	5754.707853
POLR2H	4	H	1	7709.00072
POLR2H	4	H	2	0
POLR2H	4	H	3	0
POLR2H	5	H	1	7532.048738
POLR2H	5	H	2	7555.704483
POLR2H	5	H	3	10111.44041
POLR2H	6	H	1	7059.992552
POLR2H	6	H	2	7833.765448
POLR2H	6	H	3	7810.68079
POLR2H	1	L	1	8318.285418
POLR2H	1	L	2	7867.150408
POLR2H	1	L	3	5296.715173
POLR2H	2	L	1	6167.23047
POLR2H	2	L	2	8019.01811
POLR2H	2	L	3	8077.088874
POLR2H	3	L	1	5715.390378
POLR2H	3	L	2	8398.72973
POLR2H	3	L	3	6095.040227
POLR2H	4	L	1	8492.641711
POLR2H	4	L	2	0
POLR2H	4	L	3	7162.420023
POLR2H	5	L	1	9447.557738
POLR2H	5	L	2	8080.321819
POLR2H	5	L	3	9025.75754
POLR2H	6	L	1	6940.899063
POLR2H	6	L	2	9351.188569
POLR2H	6	L	3	8194.916351
INS1	1	H	1	0
INS1	1	H	2	288.5340799
INS1	1	H	3	747.9615916
INS1	2	H	1	3973.154561
INS1	2	H	2	2612.310337
INS1	2	H	3	3412.889635
INS1	3	H	1	3557.231486
INS1	3	H	2	3917.97385
INS1	3	H	3	1627.165814
INS1	4	H	1	1311.938065
INS1	4	H	2	2481.626966
INS1	4	H	3	3505.778605
INS1	5	H	1	1414.376526
INS1	5	H	2	742.0661608
INS1	5	H	3	1263.958706
INS1	6	H	1	2344.895619
INS1	6	H	2	2483.202577
INS1	6	H	3	1885.664419
INS1	1	L	1	0
INS1	1	L	2	0
INS1	1	L	3	0
INS1	2	L	1	1976.712667
INS1	2	L	2	1611.436583
INS1	2	L	3	1424.886659
INS1	3	L	1	1084.362654
INS1	3	L	2	1320.693283
INS1	3	L	3	1224.102414
INS1	4	L	1	2007.576156
INS1	4	L	2	938.8120244
INS1	4	L	3	0
INS1	5	L	1	2863.42565
INS1	5	L	2	893.2105974
INS1	5	L	3	1423.052872
INS1	6	L	1	2631.010264
INS1	6	L	2	2250.801643
INS1	6	L	3	1857.988268
DPM3	1	H	1	17981.8
DPM3	1	H	2	18590.54744
DPM3	1	H	3	14725.39413
DPM3	2	H	1	10301.82959
DPM3	2	H	2	8850.52961
DPM3	2	H	3	6592.259217
DPM3	3	H	1	11667.69089
DPM3	3	H	2	13130.07704
DPM3	3	H	3	10974.49965
DPM3	4	H	1	13085.43075
DPM3	4	H	2	10851.42845
DPM3	4	H	3	10246.18005
DPM3	5	H	1	9664.256728
DPM3	5	H	2	5969.509662
DPM3	5	H	3	6611.049096
DPM3	6	H	1	9439.23539
DPM3	6	H	2	12772.46204
DPM3	6	H	3	11354.50388
DPM3	1	L	1	10292.78983
DPM3	1	L	2	12441.07872
DPM3	1	L	3	11058.35862
DPM3	2	L	1	8201.769189
DPM3	2	L	2	5438.832651
DPM3	2	L	3	5956.140161
DPM3	3	L	1	8007.159512
DPM3	3	L	2	7618.065532
DPM3	3	L	3	8108.46366
DPM3	4	L	1	0
DPM3	4	L	2	0
DPM3	4	L	3	11893.48459
DPM3	5	L	1	10554.95219
DPM3	5	L	2	9910.805685
DPM3	5	L	3	8605.33637
DPM3	6	L	1	12395.10315
DPM3	6	L	2	11094.55946
DPM3	6	L	3	11429.74246
PDHA1	1	H	1	70516.1
PDHA1	1	H	2	64212.37516
PDHA1	1	H	3	66304.17914
PDHA1	2	H	1	103582.2869
PDHA1	2	H	2	109152.3361
PDHA1	2	H	3	107551.5381
PDHA1	3	H	1	107265.8117
PDHA1	3	H	2	104145.0513
PDHA1	3	H	3	106327.1938
PDHA1	4	H	1	37519.1466
PDHA1	4	H	2	41432.79747
PDHA1	4	H	3	32696.41346
PDHA1	5	H	1	65277.34588
PDHA1	5	H	2	65281.29643
PDHA1	5	H	3	64004.74407
PDHA1	6	H	1	89307.31585
PDHA1	6	H	2	94248.51767
PDHA1	6	H	3	88435.52182
PDHA1	1	L	1	77970.89534
PDHA1	1	L	2	73448.44333
PDHA1	1	L	3	75248.03999
PDHA1	2	L	1	67706.90266
PDHA1	2	L	2	70341.26038
PDHA1	2	L	3	65102.83188
PDHA1	3	L	1	69969.99341
PDHA1	3	L	2	70643.1238
PDHA1	3	L	3	73221.59906
PDHA1	4	L	1	30087.48764
PDHA1	4	L	2	26218.72643
PDHA1	4	L	3	33427.05927
PDHA1	5	L	1	67104.17458
PDHA1	5	L	2	67607.11775
PDHA1	5	L	3	64596.5142
PDHA1	6	L	1	91355.94351
PDHA1	6	L	2	89966.28706
PDHA1	6	L	3	95066.4888
EEF1D1	1	H	1	133904
EEF1D1	1	H	2	150700.7145
EEF1D1	1	H	3	129540.392
EEF1D1	2	H	1	159083.9341
EEF1D1	2	H	2	141835.7148
EEF1D1	2	H	3	143555.879
EEF1D1	3	H	1	151871.9419
EEF1D1	3	H	2	136216.8358
EEF1D1	3	H	3	146325.8976
EEF1D1	4	H	1	81313.23833
EEF1D1	4	H	2	84515.6657
EEF1D1	4	H	3	62827.61656
EEF1D1	5	H	1	128800.8416
EEF1D1	5	H	2	126532.3434
EEF1D1	5	H	3	124978.7714
EEF1D1	6	H	1	130144.0228
EEF1D1	6	H	2	137314.8253
EEF1D1	6	H	3	129312.7428
EEF1D1	1	L	1	121866.7538
EEF1D1	1	L	2	141903.2667
EEF1D1	1	L	3	134072.6281
EEF1D1	2	L	1	133750.5856
EEF1D1	2	L	2	109225.0502
EEF1D1	2	L	3	132743.5073
EEF1D1	3	L	1	96113.10651
EEF1D1	3	L	2	98015.73206
EEF1D1	3	L	3	89405.07409
EEF1D1	4	L	1	67855.68418
EEF1D1	4	L	2	70446.41401
EEF1D1	4	L	3	63263.6133
EEF1D1	5	L	1	147250.3383
EEF1D1	5	L	2	153862.6207
EEF1D1	5	L	3	121643.4829
EEF1D1	6	L	1	124541.3965
EEF1D1	6	L	2	131005.9356
EEF1D1	6	L	3	124265.9073
AC005280.1	1	H	1	7138.59
AC005280.1	1	H	2	6640.879531
AC005280.1	1	H	3	1367.292814
AC005280.1	2	H	1	6249.315566
AC005280.1	2	H	2	8370.803765
AC005280.1	2	H	3	7828.114046
AC005280.1	3	H	1	9424.203551
AC005280.1	3	H	2	8626.666307
AC005280.1	3	H	3	7768.053497
AC005280.1	4	H	1	0
AC005280.1	4	H	2	0
AC005280.1	4	H	3	0
AC005280.1	5	H	1	0
AC005280.1	5	H	2	0
AC005280.1	5	H	3	0
AC005280.1	6	H	1	7817.323345
AC005280.1	6	H	2	7131.952671
AC005280.1	6	H	3	7391.665679
AC005280.1	1	L	1	12930.4863
AC005280.1	1	L	2	11968.28474
AC005280.1	1	L	3	17478.09205
AC005280.1	2	L	1	10285.949
AC005280.1	2	L	2	8640.009541
AC005280.1	2	L	3	9726.241263
AC005280.1	3	L	1	9926.452792
AC005280.1	3	L	2	13852.99975
AC005280.1	3	L	3	10226.32165
AC005280.1	4	L	1	0
AC005280.1	4	L	2	0
AC005280.1	4	L	3	0
AC005280.1	5	L	1	7781.660767
AC005280.1	5	L	2	7150.873546
AC005280.1	5	L	3	9296.135399
AC005280.1	6	L	1	6930.70379
AC005280.1	6	L	2	5357.510452
AC005280.1	6	L	3	0
FTCDNL1	1	H	1	13010.2
FTCDNL1	1	H	2	10003.09116
FTCDNL1	1	H	3	12826.22363
FTCDNL1	2	H	1	5971.937446
FTCDNL1	2	H	2	5296.310902
FTCDNL1	2	H	3	4508.224426
FTCDNL1	3	H	1	4633.148466
FTCDNL1	3	H	2	5662.171455
FTCDNL1	3	H	3	6198.886899
FTCDNL1	4	H	1	0
FTCDNL1	4	H	2	0
FTCDNL1	4	H	3	3577.877108
FTCDNL1	5	H	1	5174.505693
FTCDNL1	5	H	2	8337.90903
FTCDNL1	5	H	3	6831.658098
FTCDNL1	6	H	1	17307.17012
FTCDNL1	6	H	2	12377.9691
FTCDNL1	6	H	3	11799.10214
FTCDNL1	1	L	1	10976.0776
FTCDNL1	1	L	2	10992.63948
FTCDNL1	1	L	3	13338.21574
FTCDNL1	2	L	1	4353.086451
FTCDNL1	2	L	2	4964.083553
FTCDNL1	2	L	3	4819.149254
FTCDNL1	3	L	1	0
FTCDNL1	3	L	2	4383.533859
FTCDNL1	3	L	3	4686.053778
FTCDNL1	4	L	1	0
FTCDNL1	4	L	2	2565.122721
FTCDNL1	4	L	3	0
FTCDNL1	5	L	1	6028.128114
FTCDNL1	5	L	2	4716.756195
FTCDNL1	5	L	3	7472.029846
FTCDNL1	6	L	1	10430.52211
FTCDNL1	6	L	2	9880.158609
FTCDNL1	6	L	3	8347.598851
ZNF259	1	H	1	12817.6
ZNF259	1	H	2	12974.78214
ZNF259	1	H	3	13393.8347
ZNF259	2	H	1	10876.75962
ZNF259	2	H	2	12861.04833
ZNF259	2	H	3	12390.47419
ZNF259	3	H	1	13717.3291
ZNF259	3	H	2	13572.08868
ZNF259	3	H	3	12689.19176
ZNF259	4	H	1	12265.01743
ZNF259	4	H	2	12845.24596
ZNF259	4	H	3	12307.03854
ZNF259	5	H	1	14434.90263
ZNF259	5	H	2	15232.16666
ZNF259	5	H	3	15399.80454
ZNF259	6	H	1	11188.2258
ZNF259	6	H	2	11327.96055
ZNF259	6	H	3	11759.14186
ZNF259	1	L	1	11186.68915
ZNF259	1	L	2	10118.94672
ZNF259	1	L	3	12301.4893
ZNF259	2	L	1	12118.26046
ZNF259	2	L	2	12521.57899
ZNF259	2	L	3	11894.51118
ZNF259	3	L	1	11132.08437
ZNF259	3	L	2	11655.74643
ZNF259	3	L	3	11929.45868
ZNF259	4	L	1	10804.89573
ZNF259	4	L	2	15214.4352
ZNF259	4	L	3	10524.4572
ZNF259	5	L	1	11802.04744
ZNF259	5	L	2	13292.55292
ZNF259	5	L	3	11418.55734
ZNF259	6	L	1	12396.49099
ZNF259	6	L	2	13174.54081
ZNF259	6	L	3	9942.042684
CTSB	1	H	1	94132.3
CTSB	1	H	2	109240.0222
CTSB	1	H	3	106780.9745
CTSB	2	H	1	144388.8469
CTSB	2	H	2	141650.4388
CTSB	2	H	3	151688.3379
CTSB	3	H	1	171269.4451
CTSB	3	H	2	138773.1441
CTSB	3	H	3	169879.9088
CTSB	4	H	1	36798.96632
CTSB	4	H	2	71199.62489
CTSB	4	H	3	54771.75954
CTSB	5	H	1	145206.4105
CTSB	5	H	2	140733.8182
CTSB	5	H	3	157062.5225
CTSB	6	H	1	212365.85
CTSB	6	H	2	189526.7539
CTSB	6	H	3	241230.4449
CTSB	1	L	1	77319.24594
CTSB	1	L	2	66561.96456
CTSB	1	L	3	73152.93196
CTSB	2	L	1	127853.7979
CTSB	2	L	2	133800.0667
CTSB	2	L	3	132159.3774
CTSB	3	L	1	116106.5686
CTSB	3	L	2	136905.1198
CTSB	3	L	3	115623.5805
CTSB	4	L	1	63696.68103
CTSB	4	L	2	64724.51025
CTSB	4	L	3	63981.22575
CTSB	5	L	1	160784.9866
CTSB	5	L	2	138359.0883
CTSB	5	L	3	176605.2152
CTSB	6	L	1	189779.3996
CTSB	6	L	2	180846.1666
CTSB	6	L	3	180215.6208
TUBB4B	1	H	1	302138
TUBB4B	1	H	2	331421.6329
TUBB4B	1	H	3	294971.2386
TUBB4B	2	H	1	420219.3881
TUBB4B	2	H	2	409039.5831
TUBB4B	2	H	3	395844.2084
TUBB4B	3	H	1	412340.5983
TUBB4B	3	H	2	415536.6557
TUBB4B	3	H	3	402602.6212
TUBB4B	4	H	1	164548.9428
TUBB4B	4	H	2	123849.017
TUBB4B	4	H	3	127683.8366
TUBB4B	5	H	1	437117.7327
TUBB4B	5	H	2	429147.9959
TUBB4B	5	H	3	355176.1163
TUBB4B	6	H	1	435900.8911
TUBB4B	6	H	2	470992.6618
TUBB4B	6	H	3	464063.0923
TUBB4B	1	L	1	364326.859
TUBB4B	1	L	2	353854.989
TUBB4B	1	L	3	348200.1739
TUBB4B	2	L	1	568293.8692
TUBB4B	2	L	2	541750.6579
TUBB4B	2	L	3	564671.8556
TUBB4B	3	L	1	516180.1398
TUBB4B	3	L	2	519995.3998
TUBB4B	3	L	3	529877.7311
TUBB4B	4	L	1	89812.14724
TUBB4B	4	L	2	86970.43305
TUBB4B	4	L	3	128136.2987
TUBB4B	5	L	1	458542.0655
TUBB4B	5	L	2	452559.8268
TUBB4B	5	L	3	394027.959
TUBB4B	6	L	1	429390.7308
TUBB4B	6	L	2	418313.57
TUBB4B	6	L	3	419319.0905
TUBB3	1	H	1	302138
TUBB3	1	H	2	331421.6329
TUBB3	1	H	3	294971.2386
TUBB3	2	H	1	420219.3881
TUBB3	2	H	2	409039.5831
TUBB3	2	H	3	395844.2084
TUBB3	3	H	1	412340.5983
TUBB3	3	H	2	415536.6557
TUBB3	3	H	3	402602.6212
TUBB3	4	H	1	164548.9428
TUBB3	4	H	2	123849.017
TUBB3	4	H	3	127683.8366
TUBB3	5	H	1	437117.7327
TUBB3	5	H	2	429147.9959
TUBB3	5	H	3	355176.1163
TUBB3	6	H	1	435900.8911
TUBB3	6	H	2	470992.6618
TUBB3	6	H	3	464063.0923
TUBB3	1	L	1	364326.859
TUBB3	1	L	2	353854.989
TUBB3	1	L	3	348200.1739
TUBB3	2	L	1	568293.8692
TUBB3	2	L	2	541750.6579
TUBB3	2	L	3	564671.8556
TUBB3	3	L	1	516180.1398
TUBB3	3	L	2	519995.3998
TUBB3	3	L	3	529877.7311
TUBB3	4	L	1	89812.14724
TUBB3	4	L	2	86970.43305
TUBB3	4	L	3	128136.2987
TUBB3	5	L	1	458542.0655
TUBB3	5	L	2	452559.8268
TUBB3	5	L	3	394027.959
TUBB3	6	L	1	429390.7308
TUBB3	6	L	2	418313.57
TUBB3	6	L	3	419319.0905
TUBB	1	H	1	302138
TUBB	1	H	2	331421.6329
TUBB	1	H	3	294971.2386
TUBB	2	H	1	420219.3881
TUBB	2	H	2	409039.5831
TUBB	2	H	3	395844.2084
TUBB	3	H	1	412340.5983
TUBB	3	H	2	415536.6557
TUBB	3	H	3	402602.6212
TUBB	4	H	1	164548.9428
TUBB	4	H	2	123849.017
TUBB	4	H	3	127683.8366
TUBB	5	H	1	437117.7327
TUBB	5	H	2	429147.9959
TUBB	5	H	3	355176.1163
TUBB	6	H	1	435900.8911
TUBB	6	H	2	470992.6618
TUBB	6	H	3	464063.0923
TUBB	1	L	1	364326.859
TUBB	1	L	2	353854.989
TUBB	1	L	3	348200.1739
TUBB	2	L	1	568293.8692
TUBB	2	L	2	541750.6579
TUBB	2	L	3	564671.8556
TUBB	3	L	1	516180.1398
TUBB	3	L	2	519995.3998
TUBB	3	L	3	529877.7311
TUBB	4	L	1	89812.14724
TUBB	4	L	2	86970.43305
TUBB	4	L	3	128136.2987
TUBB	5	L	1	458542.0655
TUBB	5	L	2	452559.8268
TUBB	5	L	3	394027.959
TUBB	6	L	1	429390.7308
TUBB	6	L	2	418313.57
TUBB	6	L	3	419319.0905
TAF15	1	H	1	8321.09
TAF15	1	H	2	12265.29067
TAF15	1	H	3	10699.40005
TAF15	2	H	1	23745.19754
TAF15	2	H	2	24960.72816
TAF15	2	H	3	19148.73653
TAF15	3	H	1	24697.3049
TAF15	3	H	2	19146.14349
TAF15	3	H	3	15705.08217
TAF15	4	H	1	10275.67255
TAF15	4	H	2	5373.979475
TAF15	4	H	3	0
TAF15	5	H	1	13317.55868
TAF15	5	H	2	7988.401196
TAF15	5	H	3	13708.55917
TAF15	6	H	1	16946.67238
TAF15	6	H	2	18119.62211
TAF15	6	H	3	18301.1642
TAF15	1	L	1	10646.16183
TAF15	1	L	2	9669.579273
TAF15	1	L	3	4683.352713
TAF15	2	L	1	12085.0232
TAF15	2	L	2	9463.671573
TAF15	2	L	3	12817.97142
TAF15	3	L	1	14926.86713
TAF15	3	L	2	11530.58985
TAF15	3	L	3	9478.728535
TAF15	4	L	1	4029.090654
TAF15	4	L	2	5175.201768
TAF15	4	L	3	5652.990879
TAF15	5	L	1	15374.44813
TAF15	5	L	2	16131.51959
TAF15	5	L	3	10102.71842
TAF15	6	L	1	18660.01826
TAF15	6	L	2	16429.18711
TAF15	6	L	3	9672.583473
FAU	1	H	1	90325.1
FAU	1	H	2	78182.51327
FAU	1	H	3	89747.14482
FAU	2	H	1	97890.32991
FAU	2	H	2	104860.8811
FAU	2	H	3	100883.8669
FAU	3	H	1	121585.2349
FAU	3	H	2	105259.5652
FAU	3	H	3	115399.8627
FAU	4	H	1	38614.47751
FAU	4	H	2	63088.58352
FAU	4	H	3	45950.1336
FAU	5	H	1	79287.17917
FAU	5	H	2	77201.1073
FAU	5	H	3	71499.32326
FAU	6	H	1	69859.04925
FAU	6	H	2	58585.3198
FAU	6	H	3	72375.98991
FAU	1	L	1	83140.14518
FAU	1	L	2	85950.10789
FAU	1	L	3	92445.29528
FAU	2	L	1	54047.06634
FAU	2	L	2	103745.5623
FAU	2	L	3	89436.96778
FAU	3	L	1	104746.298
FAU	3	L	2	72989.80977
FAU	3	L	3	86360.69696
FAU	4	L	1	54990.98412
FAU	4	L	2	25655.47786
FAU	4	L	3	28730.74051
FAU	5	L	1	66656.19898
FAU	5	L	2	80134.01376
FAU	5	L	3	82604.31481
FAU	6	L	1	56620.38197
FAU	6	L	2	62783.14927
FAU	6	L	3	66550.10386
SRP14	1	H	1	13376.3
SRP14	1	H	2	14159.30301
SRP14	1	H	3	13494.35939
SRP14	2	H	1	16811.95359
SRP14	2	H	2	17080.12991
SRP14	2	H	3	18422.73938
SRP14	3	H	1	14299.04816
SRP14	3	H	2	14588.8983
SRP14	3	H	3	13625.11426
SRP14	4	H	1	764.5823279
SRP14	4	H	2	4804.62949
SRP14	4	H	3	5634.035071
SRP14	5	H	1	16475.05983
SRP14	5	H	2	13999.25748
SRP14	5	H	3	17289.6522
SRP14	6	H	1	15408.87295
SRP14	6	H	2	14363.32644
SRP14	6	H	3	16070.67365
SRP14	1	L	1	18850.06581
SRP14	1	L	2	16501.67663
SRP14	1	L	3	15290.241
SRP14	2	L	1	18913.47169
SRP14	2	L	2	21396.52309
SRP14	2	L	3	21234.68052
SRP14	3	L	1	20896.26651
SRP14	3	L	2	15681.36483
SRP14	3	L	3	18943.39836
SRP14	4	L	1	5228.478511
SRP14	4	L	2	7658.457144
SRP14	4	L	3	2091.502207
SRP14	5	L	1	14201.06514
SRP14	5	L	2	16180.16428
SRP14	5	L	3	14297.79777
SRP14	6	L	1	14441.84421
SRP14	6	L	2	14710.77341
SRP14	6	L	3	15710.84212
RPS15A	1	H	1	15420.5
RPS15A	1	H	2	13758.22616
RPS15A	1	H	3	14029.96749
RPS15A	2	H	1	8354.770829
RPS15A	2	H	2	9057.332349
RPS15A	2	H	3	8921.84678
RPS15A	3	H	1	7345.880015
RPS15A	3	H	2	8467.859797
RPS15A	3	H	3	9990.049542
RPS15A	4	H	1	10496.47451
RPS15A	4	H	2	0
RPS15A	4	H	3	9313.982121
RPS15A	5	H	1	6527.031995
RPS15A	5	H	2	10143.08456
RPS15A	5	H	3	9968.678089
RPS15A	6	H	1	10442.21013
RPS15A	6	H	2	9494.292247
RPS15A	6	H	3	8877.727326
RPS15A	1	L	1	18142.89472
RPS15A	1	L	2	19932.40616
RPS15A	1	L	3	17442.83156
RPS15A	2	L	1	12011.53946
RPS15A	2	L	2	8981.652988
RPS15A	2	L	3	9811.631236
RPS15A	3	L	1	11431.06792
RPS15A	3	L	2	15386.59949
RPS15A	3	L	3	16697.61269
RPS15A	4	L	1	11851.00244
RPS15A	4	L	2	4440.691006
RPS15A	4	L	3	0
RPS15A	5	L	1	6341.918386
RPS15A	5	L	2	8480.442674
RPS15A	5	L	3	11506.44446
RPS15A	6	L	1	11136.1204
RPS15A	6	L	2	13172.60614
RPS15A	6	L	3	15013.47617
APMAP	1	H	1	25888.4
APMAP	1	H	2	24479.37586
APMAP	1	H	3	25030.54892
APMAP	2	H	1	28214.75173
APMAP	2	H	2	28826.28
APMAP	2	H	3	27722.74089
APMAP	3	H	1	23950.98293
APMAP	3	H	2	25693.12673
APMAP	3	H	3	25932.11664
APMAP	4	H	1	24538.71378
APMAP	4	H	2	27354.03617
APMAP	4	H	3	32078.23589
APMAP	5	H	1	24785.09964
APMAP	5	H	2	22774.01551
APMAP	5	H	3	22749.96465
APMAP	6	H	1	26430.0156
APMAP	6	H	2	22109.25301
APMAP	6	H	3	24180.1459
APMAP	1	L	1	22898.9912
APMAP	1	L	2	20465.67378
APMAP	1	L	3	21519.89659
APMAP	2	L	1	16985.03219
APMAP	2	L	2	16181.22716
APMAP	2	L	3	18353.0476
APMAP	3	L	1	14687.30476
APMAP	3	L	2	16952.7831
APMAP	3	L	3	21034.49452
APMAP	4	L	1	20968.02665
APMAP	4	L	2	22751.1308
APMAP	4	L	3	20541.95186
APMAP	5	L	1	23457.29241
APMAP	5	L	2	27320.63442
APMAP	5	L	3	25217.04379
APMAP	6	L	1	31214.50929
APMAP	6	L	2	27877.03815
APMAP	6	L	3	28968.38932
PDE4DIP1	1	H	1	0
PDE4DIP1	1	H	2	0
PDE4DIP1	1	H	3	0
PDE4DIP1	2	H	1	0
PDE4DIP1	2	H	2	902.0439269
PDE4DIP1	2	H	3	1903.878236
PDE4DIP1	3	H	1	0
PDE4DIP1	3	H	2	2575.312055
PDE4DIP1	3	H	3	1536.58934
PDE4DIP1	4	H	1	0
PDE4DIP1	4	H	2	0
PDE4DIP1	4	H	3	0
PDE4DIP1	5	H	1	0
PDE4DIP1	5	H	2	0
PDE4DIP1	5	H	3	0
PDE4DIP1	6	H	1	0
PDE4DIP1	6	H	2	0
PDE4DIP1	6	H	3	0
PDE4DIP1	1	L	1	0
PDE4DIP1	1	L	2	0
PDE4DIP1	1	L	3	0
PDE4DIP1	2	L	1	2264.712411
PDE4DIP1	2	L	2	2973.332323
PDE4DIP1	2	L	3	1354.9137
PDE4DIP1	3	L	1	1834.159729
PDE4DIP1	3	L	2	3511.041411
PDE4DIP1	3	L	3	2720.644222
PDE4DIP1	4	L	1	0
PDE4DIP1	4	L	2	0
PDE4DIP1	4	L	3	0
PDE4DIP1	5	L	1	0
PDE4DIP1	5	L	2	1787.843921
PDE4DIP1	5	L	3	0
PDE4DIP1	6	L	1	0
PDE4DIP1	6	L	2	0
PDE4DIP1	6	L	3	0
DUSP23	1	H	1	11884.8
DUSP23	1	H	2	13090.48686
DUSP23	1	H	3	13724.46668
DUSP23	2	H	1	7917.476261
DUSP23	2	H	2	8349.971796
DUSP23	2	H	3	7988.884552
DUSP23	3	H	1	8022.732229
DUSP23	3	H	2	9937.502806
DUSP23	3	H	3	8220.717995
DUSP23	4	H	1	0
DUSP23	4	H	2	0
DUSP23	4	H	3	0
DUSP23	5	H	1	9199.12855
DUSP23	5	H	2	12022.79195
DUSP23	5	H	3	12952.91186
DUSP23	6	H	1	9791.104034
DUSP23	6	H	2	9310.244856
DUSP23	6	H	3	9043.503554
DUSP23	1	L	1	10074.82783
DUSP23	1	L	2	7206.753486
DUSP23	1	L	3	9762.348532
DUSP23	2	L	1	7213.231973
DUSP23	2	L	2	7694.796751
DUSP23	2	L	3	7522.466505
DUSP23	3	L	1	8733.125156
DUSP23	3	L	2	9444.941675
DUSP23	3	L	3	8244.590434
DUSP23	4	L	1	0
DUSP23	4	L	2	0
DUSP23	4	L	3	0
DUSP23	5	L	1	9335.517183
DUSP23	5	L	2	9210.918488
DUSP23	5	L	3	7950.608549
DUSP23	6	L	1	7906.279308
DUSP23	6	L	2	11609.39569
DUSP23	6	L	3	7472.971453
COX7A2	1	H	1	21632.8
COX7A2	1	H	2	31202.85379
COX7A2	1	H	3	28791.29134
COX7A2	2	H	1	40649.15375
COX7A2	2	H	2	40755.39013
COX7A2	2	H	3	40789.99794
COX7A2	3	H	1	46403.94199
COX7A2	3	H	2	46531.09608
COX7A2	3	H	3	47619.2136
COX7A2	4	H	1	15385.51505
COX7A2	4	H	2	10926.13723
COX7A2	4	H	3	11538.60391
COX7A2	5	H	1	12478.17846
COX7A2	5	H	2	12290.2123
COX7A2	5	H	3	13672.5065
COX7A2	6	H	1	19153.12163
COX7A2	6	H	2	19785.83434
COX7A2	6	H	3	17024.47083
COX7A2	1	L	1	21094.31126
COX7A2	1	L	2	20062.66572
COX7A2	1	L	3	26066.23225
COX7A2	2	L	1	21239.06255
COX7A2	2	L	2	16650.04176
COX7A2	2	L	3	19278.51439
COX7A2	3	L	1	13861.26191
COX7A2	3	L	2	10750.46512
COX7A2	3	L	3	13396.22139
COX7A2	4	L	1	14572.55312
COX7A2	4	L	2	12835.3128
COX7A2	4	L	3	14514.03881
COX7A2	5	L	1	18420.18462
COX7A2	5	L	2	13479.59958
COX7A2	5	L	3	21476.11386
COX7A2	6	L	1	20105.61187
COX7A2	6	L	2	20567.76099
COX7A2	6	L	3	19235.21415
PAICS	1	H	1	20356.4
PAICS	1	H	2	20304.65125
PAICS	1	H	3	18982.67353
PAICS	2	H	1	25339.41069
PAICS	2	H	2	25361.73487
PAICS	2	H	3	25415.4323
PAICS	3	H	1	20740.08147
PAICS	3	H	2	26485.84513
PAICS	3	H	3	25400.5145
PAICS	4	H	1	11905.69308
PAICS	4	H	2	18331.72044
PAICS	4	H	3	19879.95821
PAICS	5	H	1	27451.33393
PAICS	5	H	2	29755.91168
PAICS	5	H	3	29497.6492
PAICS	6	H	1	25903.4922
PAICS	6	H	2	23893.92937
PAICS	6	H	3	25735.91841
PAICS	1	L	1	18667.65343
PAICS	1	L	2	28119.57324
PAICS	1	L	3	22803.10632
PAICS	2	L	1	27982.72211
PAICS	2	L	2	29611.6042
