"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AUTS2",1.08490502116511e-25,0.400401540216647,0.134,0.074,2.7781162876975e-21
"ANKRD17",2.04863963105816e-25,0.325254011789646,0.354,0.281,5.24595150325062e-21
"MTRNR2L8",6.09324263408824e-25,-0.314534236117681,0.094,0.154,1.56029664131097e-20
"PTK2",6.21164846387174e-25,0.524725043356726,0.399,0.343,1.59061682214364e-20
"MYO3A",6.55406084441852e-25,0.417140630501395,0.407,0.334,1.67829836043025e-20
"NAV2",9.27585549358503e-25,0.298590383087124,0.314,0.237,2.37526831624232e-20
"SNX29",1.6387143079707e-24,0.333016313662664,0.386,0.311,4.19625572842058e-20
"SST",2.29160654196373e-24,0.314881103670033,0.348,0.266,5.86811687200652e-20
"TSHZ2",2.34970687594638e-24,0.403401451884946,0.297,0.225,6.01689439723589e-20
"SFPQ",2.63775492938763e-24,0.303458071432141,0.431,0.344,6.75449904768289e-20
"PBX3",7.61160822016968e-24,0.362560373938699,0.271,0.205,1.94910451693885e-19
"TTR",1.04471824556831e-23,-0.285563619283278,0.439,0.334,2.67521001142678e-19
"TRIO",1.47271993812993e-23,0.30919021216883,0.249,0.18,3.77119394556932e-19
"PSD3",2.39244912318698e-23,0.286406919827858,0.271,0.191,6.12634446974489e-19
"KRT8",3.00958343631924e-23,0.26792763325618,0.475,0.382,7.70664030538268e-19
"PHACTR2",3.67704994842176e-23,0.259631739463778,0.364,0.283,9.41582180292361e-19
"CAMK2D",4.48467513148045e-23,0.369185009168798,0.331,0.263,1.1483907609182e-18
"ZNF292",1.65542363784495e-22,-0.324040737092606,0.471,0.551,4.23904330942958e-18
"ERC1",3.18937864129637e-22,0.47962106652652,0.436,0.383,8.16704188676762e-18
"TUBA4A",5.1864159015159e-22,0.311749249514182,0.423,0.348,1.32808551990118e-17
"CASR",6.06924291698395e-22,0.503133426019113,0.395,0.326,1.55415103375208e-17
"MT-ND2",6.95175072370754e-22,-0.587898781483231,0.569,0.628,1.78013480781979e-17
"RAB11FIP1",1.13360804914679e-21,-0.419699767154651,0.379,0.45,2.90283013145019e-17
"PAM",1.36521996722461e-21,0.522116532115907,0.512,0.456,3.49591877007207e-17
"GPM6A",1.43550199374931e-21,0.300292374254434,0.226,0.161,3.67588995539386e-17
"LIMCH1",1.91289862131222e-21,0.482071285801011,0.435,0.371,4.89835949959419e-17
"RORA",2.60690963608906e-21,0.538530343422994,0.387,0.323,6.67551350513326e-17
"SIL1",2.96337655355774e-21,0.330337805237597,0.453,0.385,7.5883183406953e-17
"KCNJ6",4.5243868758043e-21,0.318087804948072,0.406,0.334,1.15855974728721e-16
"PAK3",5.19944110292865e-21,0.435901509122592,0.513,0.456,1.33142088322694e-16
"NRXN1",6.00453951028557e-21,0.695217242877488,0.54,0.514,1.53758243239883e-16
"FSTL5",8.79659253537152e-21,0.321657288964429,0.124,0.073,2.25254345053258e-16
"PATJ",1.81150032784119e-20,0.303341983776812,0.326,0.258,4.63870888950294e-16
"TSC22D1",2.59194342000447e-20,0.351203637106519,0.528,0.457,6.63718951560544e-16
"ST18",3.18087324046168e-20,0.385035905064984,0.4,0.332,8.14526210685023e-16
"SEC24D",3.51394430133578e-20,0.277618695877279,0.371,0.302,8.99815717243054e-16
"RPN2",4.36987805985388e-20,0.359366184034255,0.403,0.338,1.11899467478678e-15
"SDF2L1",7.84462532391249e-20,0.605305796391143,0.4,0.341,2.00877320669427e-15
"ELL2",1.00783486695338e-19,0.382745916115197,0.336,0.264,2.58076274380752e-15
"PPM1L",1.24587821559791e-19,0.259172230443884,0.266,0.195,3.19032034668158e-15
"ID1",3.44647824843799e-19,0.674786977025678,0.285,0.217,8.82539685077516e-15
"LINC00511",4.72638789496069e-19,0.398006210065586,0.398,0.341,1.21028614826258e-14
"NPTX2",6.60538095061438e-19,-0.338223388365294,0.361,0.43,1.69143990002382e-14
"CD151",7.33870631299312e-19,0.297893540217591,0.357,0.291,1.87922252556815e-14
"FBXW7",1.60695511091306e-18,0.460151724612644,0.372,0.317,4.11492995251507e-14
"LRRTM3",2.04338462511263e-18,0.372834942719846,0.258,0.192,5.23249500952591e-14
"MAP7",4.07182581522114e-18,0.257813097749643,0.338,0.275,1.04267243650368e-13
"RERE",4.43904417156097e-18,0.384630988779258,0.457,0.416,1.13670604101162e-13
"LPP",1.20845755935458e-17,0.351244788073381,0.34,0.279,3.09449727223926e-13
"CADPS",3.36457942771363e-17,0.70099951836818,0.563,0.548,8.6156785405463e-13
"PPP1R9A",3.58827366692187e-17,0.26921206541261,0.349,0.285,9.18849237888684e-13
"DNAJA1",8.60546980260583e-17,0.340559822551047,0.554,0.497,2.20360265235327e-12
"PRDX1",9.79701779381801e-17,0.283843755825109,0.506,0.435,2.50872234646298e-12
