"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NSA2",1.04169614321984e-06,-0.319458964133131,0.723,0.792,0.0266747131394303
"PGRMC2",1.06924905619795e-06,-0.254917425407552,0.504,0.617,0.027380260582061
"SEPTIN7",1.0869607670966e-06,-0.284517865760374,0.742,0.829,0.0278338043630426
"COX6C",1.13315035252741e-06,-0.316783923464176,0.921,0.935,0.0290165810771694
"FOXP2",1.15170463766111e-06,0.347469637759793,0.317,0.194,0.0294917006565881
"PDCD5",1.17449024703297e-06,-0.292160771793424,0.631,0.742,0.0300751717557733
"IDS",1.20364050409366e-06,-0.257785841109247,0.893,0.929,0.0308216223883263
"TRIR",1.20703798182236e-06,-0.257395689098757,0.72,0.813,0.0309086216005252
"POLR2I",1.23181954735741e-06,-0.285693752989269,0.738,0.795,0.0315432031491812
"C18orf32",1.24141242001691e-06,-0.283838837832946,0.77,0.859,0.031788847839373
"RPL34",1.25204575972779e-06,-0.336350805355045,0.994,0.973,0.0320611357693495
"TMED4",1.26036367309586e-06,-0.261095583304688,0.597,0.714,0.0322741325769658
"PPIG",1.27639468777352e-06,-0.264010497091532,0.667,0.776,0.0326846387698166
"TUBB3",1.28949804428313e-06,-0.343236626461637,0.321,0.454,0.0330201764199581
"CHGB",1.30491151481485e-06,-0.460661945513234,0.966,0.975,0.0334148691598639
"METTL5",1.31136128962685e-06,-0.26166663712297,0.56,0.705,0.0335800285434748
"EEF1G",1.31320904079377e-06,-0.372379765723382,0.92,0.908,0.033627343907606
"ATP5F1A",1.32808271581837e-06,-0.259620158387565,0.726,0.793,0.0340082141039609
"RPL31",1.33866454431583e-06,-0.408680788903587,0.948,0.935,0.0342791829862954
"LRMDA",1.35324260245647e-06,0.281662816981173,0.317,0.196,0.0346524833211028
"RALYL",1.35377332505909e-06,0.461415244214188,0.329,0.212,0.0346660735347881
"MT-CYB",1.36174757890378e-06,-0.470103979954088,0.536,0.659,0.034870270252989
"KHDRBS1",1.38394331245213e-06,-0.254695709427591,0.569,0.666,0.0354386364019617
"ATP6V0C",1.38626649553958e-06,-0.310397206093728,0.884,0.88,0.035498126151282
"LMAN1",1.42733565510155e-06,-0.326409437760796,0.71,0.784,0.0365497841201855
"RHOA",1.42811571824039e-06,-0.333830689634542,0.825,0.852,0.0365697591969817
"COX5B",1.43236204543275e-06,-0.27615278907003,0.929,0.896,0.0366784948973965
"RTN1",1.43638247770474e-06,0.290640624312438,0.474,0.359,0.0367814461065852
"CALM2",1.44023672996726e-06,-0.302539940584011,0.945,0.94,0.0368801419442717
"SNHG6",1.45292099313336e-06,-0.280597280931346,0.796,0.852,0.037204947871166
"CST3",1.47697958616731e-06,-0.396373978796735,0.936,0.922,0.0378210162629862
"MDH1",1.52101608779751e-06,-0.290772361579724,0.687,0.77,0.0389486589602308
"DMAC1",1.54320988264753e-06,-0.289112702152807,0.439,0.576,0.0395169754649553
"PFDN2",1.56499429515601e-06,-0.290206211057621,0.702,0.786,0.0400748089160599
"CD63",1.57047634028404e-06,-0.288955794264211,0.991,0.981,0.0402151876456534
"MRPL51",1.67339320959059e-06,-0.303844128383061,0.761,0.83,0.0428505799179862
"SNHG32",1.69541910490906e-06,-0.272110356099402,0.524,0.655,0.0434145970194063
"ATP6V1F",1.73299277214286e-06,-0.33426846479902,0.742,0.807,0.0443767459162621
"PAIP2",1.74433462605799e-06,-0.295350088852774,0.61,0.708,0.044667176769467
"EEF1A2",1.7657962671733e-06,-0.397126918264107,0.673,0.735,0.0452167450135066
"SRRM2",1.81016134633164e-06,-0.263039254157849,0.673,0.753,0.0463528015955143
"MAP1B",1.85338917420959e-06,-0.328593624308821,0.841,0.882,0.0474597365839851
"CHURC1",1.90846269217548e-06,-0.25936671657021,0.639,0.77,0.0488700041585376
"OAZ1",1.93957467595961e-06,-0.333984992234278,0.939,0.935,0.0496666887272976
"VAPA",1.96241823013276e-06,-0.285003075856786,0.704,0.76,0.0502516436190097
"SARAF",2.00377654406136e-06,-0.250062629347297,0.865,0.906,0.0513107059637792
"CD46",2.01225997018693e-06,-0.257533943412284,0.637,0.756,0.0515279410565768
"SDSL",2.03690411095442e-06,-0.256393921529632,0.313,0.433,0.05215900356921
"DACH2",2.07253605194352e-06,0.349933261467041,0.102,0.034,0.0530714306821177
"FIS1",2.11047853038879e-06,-0.253233775145637,0.844,0.885,0.0540430237276658
"RNASEK",2.13147986397692e-06,-0.274667445019348,0.95,0.943,0.054580804876857
"BTG2",2.22430504482861e-06,0.278863609907852,0.547,0.405,0.0569577792829261
"CHCHD5",2.22695195380257e-06,-0.287506166373265,0.502,0.618,0.0570255586810224
"MYL12B",2.38203943044847e-06,-0.402045697922811,0.812,0.813,0.0609968836954941
"RBP4",2.40040620907678e-06,-0.661835259340193,0.99,0.995,0.061467201795829
"FAM162A",2.45347526810309e-06,-0.476309340731708,0.588,0.675,0.0628261411903158
"HIGD2A",2.55308259209302e-06,-0.281217009786618,0.698,0.751,0.065376785935726
"PRRC2C",2.93113460866568e-06,-0.27990455825943,0.604,0.686,0.0750575639241021
"EIF3E",3.02555299029416e-06,-0.408922204581085,0.745,0.788,0.0774753354224626
"SBF2",3.11359533470323e-06,0.275245491358991,0.253,0.148,0.0797298357357456
"TBCB",3.22597177232092e-06,-0.341217797417912,0.624,0.671,0.0826074591738219
"GRN",3.3093179037355e-06,-0.266220662889623,0.705,0.765,0.084741703560955
"RPL35",3.31752527022864e-06,-0.287419596604583,0.97,0.959,0.0849518695947449
"CMTM8",3.37513422538791e-06,-0.301297847141986,0.49,0.606,0.0864270621095082
"UQCR11",3.38918536674303e-06,-0.260538232451103,0.902,0.906,0.0867868696861888
"UBE2V1",3.43838107983469e-06,-0.274020367604513,0.584,0.694,0.088046624311327
"COX7A2",3.49888235760015e-06,-0.289395053313324,0.942,0.947,0.0895958805310669
"TOMM7",3.64446655898547e-06,-0.329778588030519,0.95,0.924,0.0933238551759409
"CBFA2T2",3.83147007044807e-06,0.263567685313561,0.338,0.221,0.0981124540939638
"SPIDR",3.94241458511668e-06,0.289151194090601,0.252,0.148,0.100953410281083
"RORA",4.2627357654399e-06,0.683113796951831,0.479,0.398,0.10915587474562
"MT-ND4L",4.34823032722376e-06,-0.605124571005914,0.246,0.346,0.111345133989219
"EPRS",4.7519676936664e-06,-0.255492419583963,0.6,0.691,0.121683636731715
"DAD1",4.78883301926892e-06,-0.268658687055682,0.893,0.887,0.122627647124419
"TBC1D5",4.81093435566476e-06,0.378381204744745,0.354,0.246,0.123193596045508
"DDX17",4.9049716949657e-06,-0.309285151721971,0.573,0.677,0.125601610192987
"SET",5.11004971970402e-06,-0.277726117815181,0.73,0.804,0.130853043172461
"SF3B6",5.1204547636451e-06,-0.271368939293788,0.658,0.753,0.13111948513266
"ERH",5.16858585892606e-06,-0.273035411351986,0.8,0.829,0.13235197808952
"PLCB1",5.29596297101315e-06,0.359296724564239,0.293,0.184,0.135613723798734
"DUT",5.51536616187953e-06,-0.257567266298714,0.548,0.666,0.141231981307249
"RPLP0",5.53093881179133e-06,-0.330239463898806,0.973,0.954,0.141630750153541
"LSM3",5.59006180615856e-06,-0.295648219889152,0.693,0.767,0.143144712670302
"NDUFB6",5.6893016893045e-06,-0.275159733164219,0.692,0.79,0.14568594835802
"SNRPD2",5.85556145055805e-06,-0.257581767167447,0.85,0.869,0.14994336206444
"FBXL17",6.12423523893656e-06,0.338292377620339,0.339,0.23,0.156823291763449
"ATP5PF",6.18774121898603e-06,-0.274756413764795,0.923,0.906,0.158449489394575
"RPL36",6.20030456117203e-06,-0.334455872448006,0.975,0.963,0.158771198897932
"LRFN5",6.27217546956517e-06,0.506582746590827,0.324,0.224,0.160611597249155
"YWHAH",6.30164869215339e-06,-0.401794259520109,0.708,0.776,0.161366318059972
"TMBIM4",6.53300100227471e-06,-0.286677002136434,0.748,0.836,0.167290556665249
"ATP5F1E",6.74482289030017e-06,-0.301819346983259,0.981,0.977,0.172714679751916
"UBB",6.86998537032681e-06,-0.351842468911661,0.898,0.917,0.175919715377959
"CHMP2A",6.94707039904752e-06,-0.311726441606342,0.821,0.846,0.17789363170841
"COX6B1",7.07029869467664e-06,-0.274675369391467,0.898,0.903,0.181049138674585
"H1FX",7.16520660349635e-06,-0.391622386306074,0.527,0.655,0.183479445495731
"PITPNC1",7.31592408072134e-06,0.40621881769409,0.419,0.325,0.187338867935031
"AKAP9",7.64321202461715e-06,-0.29680092793166,0.72,0.797,0.195719730314371
"LAMTOR4",8.30005777467431e-06,-0.287631174368722,0.821,0.848,0.212539579436085
"RPL27",8.37899534635572e-06,-0.252123856184283,0.942,0.933,0.214560933834131
"MAGI2",8.47037423907204e-06,0.838196120009141,0.406,0.314,0.216900873139918
"IMMP2L",8.53905294234617e-06,0.316012022192001,0.264,0.164,0.218659528694658
"ZKSCAN1",9.041438232433e-06,-0.320471033038479,0.713,0.793,0.231524108817912
"C11orf58",9.45475980213526e-06,-0.253854935646136,0.766,0.825,0.242108034253278
"SCAND1",9.52191864779785e-06,-0.29318657271215,0.739,0.816,0.24382777081416
"PSAP",9.89412616498628e-06,-0.271571460870502,0.821,0.853,0.253358888706804
"COX6A1",1.07267616740126e-05,-0.30182293550247,0.944,0.908,0.274680186186439
"CISD1",1.08565024229244e-05,-0.272580299771533,0.647,0.742,0.278002457543824
"RAB2A",1.11471317263477e-05,-0.254807428082791,0.827,0.88,0.285444602116585
"MT-CO1",1.13316290019222e-05,-0.611621760611441,0.556,0.659,0.290169023852222
"SLC35F3",1.19568885947304e-05,0.418975060393212,0.367,0.272,0.306180046245262
"ATP5F1C",1.20575218283012e-05,-0.307853129028084,0.767,0.807,0.308756961457308
"GSN",1.25274613623361e-05,-0.253032636621614,0.224,0.323,0.320790703105341
"TCF25",1.30155114676079e-05,-0.266972299425998,0.683,0.754,0.333288202151036
"CCT8",1.38281568676858e-05,-0.259421032741163,0.679,0.749,0.35409761291083
"POMC",1.47494668097446e-05,-0.342948628885338,0.29,0.398,0.377689596597131
"GAP43",1.48705423920597e-05,-0.334589228989726,0.243,0.348,0.380789979033473
"HLA-C",1.48921042254356e-05,-0.435259146309882,0.824,0.832,0.381342112900729
"NDUFA12",1.49130440056349e-05,-0.272132868906191,0.704,0.756,0.381878317852293
"TPM3",1.52290000421579e-05,-0.288599532717431,0.588,0.664,0.389969004079537
"VEGFB",1.57646722074806e-05,-0.254721543103894,0.693,0.776,0.403685961216956
"RAB7A",1.57739590877585e-05,-0.255254539372584,0.584,0.652,0.403923770360232
"PLOD2",1.70141048541769e-05,-0.407405841364682,0.453,0.534,0.435680183000909
"PPA1",1.82671385214132e-05,-0.306885201310808,0.787,0.834,0.467766616117828
"MT-CO3",1.84193990724561e-05,-0.604169737772648,0.502,0.592,0.471665552048383
"UQCRFS1",1.84495662924498e-05,-0.252238858904389,0.639,0.749,0.472438044050762
"LAPTM4B",1.89970635430736e-05,-0.373275589465915,0.249,0.35,0.486457806147485
"EPB41L4A-AS1",1.91822020352222e-05,-0.255870763049008,0.456,0.569,0.491198647515936
"CYSTM1",1.95927881347985e-05,-0.346717844934656,0.921,0.901,0.501712525767786
"RPL23",2.11047008301037e-05,-0.401833190215587,0.936,0.928,0.540428074156464
"PGK1",2.20276440895758e-05,-0.402757960098968,0.751,0.8,0.564061882201766
"ARPC3",2.22656739913421e-05,-0.296022853070108,0.902,0.878,0.570157113896298
"ATP5MC3",2.23476579824359e-05,-0.313581525312628,0.91,0.89,0.572256477956237
"TMEM59",2.39609738363148e-05,-0.251454998255127,0.938,0.935,0.613568657026512
"FLOT1",2.4785294546898e-05,-0.308668456122981,0.633,0.714,0.634677037462416
