ionIdx	ionMz	ionAverageInt	ionTopFormula	ionTopIon	ionTopName	D1 LG	D1 HG	D2 LG	D2 HG	D3 LG	D3 HG	D4 LG	D4 HG	D5 LG	D5 HG		
548	263.0929	17077.33143	C14H16O5	-H(-)	Acetoxyeugenol acetate	17653.5	17190.5	11674	13886.5	18256	17465.5	21186	18523.5	18176	18967.5	HMDB0094599	HMDB0094599
238	174.0412	2298543.837	C6H9NO5	-H(-)	Acetyl-Asp	1311603	612698	565674	870225	8615094.5	7205364	2902008.5	2538905	3969244.5	3464531	CHEBI:90970	CHEBI:90970
344	201.0909	19401.39785	C13H14O2	-H(-)	Acetyl-dimethyl-2H-benzopyran	19738.5	19930.5	13639.5	15830	20570.5	20806	22751.5	17911.5	20778	21758	HMDB0128360	HMDB0128360
549	263.1034	28043.20838	C13H16N2O4	-H(-)	Acetyl-formyl-methoxykynure...	9437.5	10752	7643	7590	11418	12054.5	12152.5	11785.5	11293.5	11495.5	HMDB0127029	HMDB0127029
289	188.0569	763751.7011	C7H11NO5	-H(-)	Acetyl-Glu	121395	41099.5	14444	44878	5085199.5	2779476.5	86202	64351.5	1552562	836816.5	C11462	C11462
231	172.0617	15110.81089	C7H11NO4	-H(-)	Acetyl-Glu-semialdehyde	16030	14101.5	7190	8146	30293	26824	17022	15623	19522	19107.5	HMDB0141323	HMDB0141323
566	268.0225	7483.032348	C7H12NO8P	-H(-)	Acetyl-glutamyl phosphate	7007	6903	6219.5	4825	10576	10569	7711	7237.5	7209.5	7627	HMDB0125227	HMDB0125227
1135	620.1586	13011.83415	C21H36NO18P	-H(-)	Acetyl-hexosaminyl)-phospha...	15981.5	14895	7011	7172.5	16429	20594.5	27820	28105.5	14235	16617	HMDB0114643	HMDB0114643
318	196.0728	50917.46698	C8H11N3O3	-H(-)	Acetyl-His	22050	22876.5	30468.5	39256.5	37434.5	34985	139342.5	119072.5	79074	63074	C17492	C17492
985	448.2442	9316.824817	C23H35N3O6	-H(-)	Acetyl-leu-leu-tyr	11220.5	14213	8814.5	9687.5	10378.5	9195.5	12641	10526.5	10702.5	11624.5	CHEBI:78261	CHEBI:78261
362	206.0811	10599.79488	C11H13NO3	-H(-)	Acetyl-Phe	9710	9348.5	6839	7521	9844	11288.5	10309	8855	10120	10114.5	HMDB0127029	HMDB0127029
1053	507.2233	10506.04238	C26H36O10	-H(-)	Acetyl-T2 Toxin	6335.5	5734	6639.5	6588	5530	6431.5	7770	7187.5	8388	6870.5	HMDB0031114	HMDB0031114
329	198.0760	11151.38641	C9H13NO4	-H(-)	Acetyl-tetrahydro-hydroxy-(...	9044.5	11048.5	6804.5	7201.5	11469.5	11719	11743.5	10599	9398	11345.5	HMDB0112232	HMDB0112232
322	197.0683	17329.1666	C7H10N4O3	-H(-)	Acetylamino-amino-methyluracil	8048.5	6342.5	5655	6059.5	6551.5	7643.5	9088	9149	8691.5	7521.5	HMDB0031214	HMDB0031214
431	225.0634	67169.30722	C8H10N4O4	-H(-)	Acetylamino-formylamino-met...	20918	30688	8475	13535.5	12418.5	17068	20659	23456.5	20751	22079.5	HMDB0094599	HMDB0094599
347	202.0727	17928.7419	C8H13NO5	-H(-)	Acetylaminoadipate &2	13905.5	14341	5496	10314	41530.5	45958	15467	14573.5	20802.5	20948.5	CHEBI:85208	CHEBI:85208
